,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214456,--,--,--,023/025,042/050,--,86,01,O,10,10
1,214456,--,--,--,021/025,026/050,--,62,01,A,08,08
2,214456,--,--,--,023/025,045/050,--,90,01,O,10,10
3,214456,--,--,--,023/025,041/050,--,85,01,O,10,10
4,214456,--,--,--,023/025,041/050,--,85,01,O,10,10
5,214456,--,--,--,022/025,040/050,--,82,01,O,10,10
6,214456,--,--,--,013/025,012/050,--,FF,01,F,00,00
7,214456,--,--,--,020/025,040/050,--,80,01,O,10,10
8,214456,--,--,--,021/025,040/050,--,81,01,O,10,10
9,214456,--,--,--,022/025,040/050,--,82,01,O,10,10
10,214456,--,--,--,017/025,039/050,--,74,01,A+,09,09
11,214456,--,--,--,023/025,042/050,--,86,01,O,10,10
12,214456,--,--,--,015/025,040/050,--,73,01,A+,09,09
13,214456,--,--,--,019/025,030/050,--,65,01,A,08,08
14,214456,--,--,--,023/025,046/050,--,92,01,O,10,10
15,214456,--,--,--,023/025,044/050,--,89,01,O,10,10
16,214456,--,--,--,020/025,023/050,--,57,01,B+,07,07
17,214456,--,--,--,021/025,039/050,--,80,01,O,10,10
18,214456,--,--,--,022/025,043/050,--,86,01,O,10,10
19,214456,--,--,--,020/025,021/050,--,54,01,B,06,06
20,214456,--,--,--,015/025,020/050,--,46,01,C,05,05
21,214456,--,--,--,022/025,044/050,--,88,01,O,10,10
22,214456,--,--,--,023/025,046/050,--,92,01,O,10,10
23,214456,--,--,--,019/025,020/050,--,52,01,B,06,06
24,214456,--,--,--,020/025,040/050,--,80,01,O,10,10
25,214456,--,--,--,019/025,045/050,--,85,01,O,10,10
26,214456,--,--,--,014/025,010/050,--,FF,01,F,00,00
27,214456,--,--,--,023/025,045/050,--,90,01,O,10,10
28,214456,--,--,--,021/025,042/050,--,84,01,O,10,10
29,214456,--,--,--,019/025,040/050,--,78,01,A+,09,09
30,214456,--,--,--,020/025,039/050,--,78,01,A+,09,09
31,214456,--,--,--,020/025,040/050,--,80,01,O,10,10
32,214456,--,--,--,017/025,028/050,--,60,01,A,08,08
33,214456,--,--,--,016/025,033/050,--,65,01,A,08,08
34,214456,--,--,--,023/025,045/050,--,90,01,O,10,10
35,214456,--,--,--,020/025,042/050,--,82,01,O,10,10
36,214456,--,--,--,023/025,041/050,--,85,01,O,10,10
37,214456,--,--,--,020/025,041/050,--,81,01,O,10,10
38,214456,--,--,--,014/025,003/050,--,FF,01,F,00,00
39,214456,--,--,--,021/025,040/050,--,81,01,O,10,10
40,214456,--,--,--,016/025,AB/050,--,FF,01,F,00,00
41,214456,--,--,--,021/025,040/050,--,81,01,O,10,10
42,214456,--,--,--,013/025,AB/050,--,FF,01,F,00,00
43,214456,--,--,--,014/025,003/050,--,FF,01,F,00,00
44,214456,--,--,--,020/025,041/050,--,81,01,O,10,10
45,214456,--,--,--,018/025,020/050,--,50,01,B,06,06
46,214456,--,--,--,023/025,045/050,--,90,01,O,10,10
47,214456,--,--,--,021/025,040/050,--,81,01,O,10,10
48,214456,--,--,--,016/025,035/050,--,68,01,A,08,08
49,214456,--,--,--,022/025,045/050,--,89,01,O,10,10
50,214456,--,--,--,022/025,040/050,--,82,01,O,10,10
51,214456,--,--,--,017/025,043/050,--,80,01,O,10,10
52,214456,--,--,--,020/025,043/050,--,84,01,O,10,10
53,214456,--,--,--,020/025,040/050,--,80,01,O,10,10
54,214456,--,--,--,015/025,035/050,--,66,01,A,08,08
55,214456,--,--,--,021/025,045/050,--,88,01,O,10,10
56,214456,--,--,--,018/025,033/050,--,68,01,A,08,08
57,214456,--,--,--,020/025,041/050,--,81,01,O,10,10
58,214456,--,--,--,017/025,039/050,--,74,01,A+,09,09
59,214456,--,--,--,016/025,031/050,--,62,01,A,08,08
60,214456,--,--,--,018/025,041/050,--,78,01,A+,09,09
61,214456,--,--,--,020/025,040/050,--,80,01,O,10,10
62,214456,--,--,--,021/025,044/050,--,86,01,O,10,10
63,214456,--,--,--,015/025,042/050,--,76,01,A+,09,09
64,214456,--,--,--,022/025,043/050,--,86,01,O,10,10
65,214456,--,--,--,021/025,042/050,--,84,01,O,10,10
66,214456,--,--,--,016/025,AB/050,--,FF,01,F,00,00
67,214456,--,--,--,022/025,045/050,--,89,01,O,10,10
68,214456,--,--,--,020/025,041/050,--,81,01,O,10,10
69,214456,--,--,--,016/025,040/050,--,74,01,A+,09,09
70,214456,--,--,--,021/025,044/050,--,86,01,O,10,10
71,214456,--,--,--,015/025,021/050,--,48,01,C,05,05
72,214456,--,--,--,018/025,043/050,--,81,01,O,10,10
73,214456,--,--,--,012/025,AB/050,--,FF,01,F,00,00
74,214456,--,--,--,021/025,041/050,--,82,01,O,10,10
75,214456,--,--,--,021/025,042/050,--,84,01,O,10,10
76,214456,--,--,--,021/025,027/050,--,64,01,A,08,08
77,214456,--,--,--,022/025,044/050,--,88,01,O,10,10
78,214456,--,--,--,019/025,021/050,--,53,01,B,06,06
79,214456,--,--,--,022/025,044/050,--,88,01,O,10,10
80,214456,--,--,--,023/025,039/050,--,82,01,O,10,10
81,214456,--,--,--,019/025,040/050,--,78,01,A+,09,09
82,214456,--,--,--,017/025,043/050,--,80,01,O,10,10
83,214456,--,--,--,015/025,004/050,--,FF,01,F,00,00
84,214456,--,--,--,016/025,032/050,--,64,01,A,08,08
85,214456,--,--,--,015/025,AB/050,--,FF,01,F,00,00
86,214456,--,--,--,018/025,021/050,--,52,01,B,06,06
87,214456,--,--,--,019/025,042/050,--,81,01,O,10,10
88,214456,--,--,--,020/025,040/050,--,80,01,O,10,10
89,214456,--,--,--,020/025,042/050,--,82,01,O,10,10
90,214456,--,--,--,016/025,043/050,--,78,01,A+,09,09
91,214456,--,--,--,020/025,021/050,--,54,01,B,06,06
92,214456,--,--,--,018/025,042/050,--,80,01,O,10,10
93,214456,--,--,--,020/025,042/050,--,82,01,O,10,10
94,214456,--,--,--,014/025,AB/050,--,FF,01,F,00,00
95,214456,--,--,--,021/025,040/050,--,81,01,O,10,10
96,214456,--,--,--,020/025,040/050,--,80,01,O,10,10
97,214456,--,--,--,023/025,042/050,--,86,01,O,10,10
98,214456,--,--,--,021/025,047/050,--,90,01,O,10,10
99,214456,--,--,--,021/025,038/050,--,78,01,A+,09,09
100,214456,--,--,--,020/025,020/050,--,53,01,B,06,06
101,214456,--,--,--,023/025,044/050,--,89,01,O,10,10
102,214456,--,--,--,021/025,042/050,--,84,01,O,10,10
103,214456,--,--,--,021/025,042/050,--,84,01,O,10,10
104,214456,--,--,--,021/025,040/050,--,81,01,O,10,10
105,214456,--,--,--,017/025,042/050,--,78,01,A+,09,09
106,214456,--,--,--,012/025,AB/050,--,FF,01,F,00,00
107,214456,--,--,--,022/025,040/050,--,82,01,O,10,10
108,214456,--,--,--,016/025,035/050,--,68,01,A,08,08
109,214456,--,--,--,018/025,041/050,--,78,01,A+,09,09
110,214456,--,--,--,023/025,043/050,--,88,01,O,10,10
111,214456,--,--,--,019/025,038/050,--,76,01,A+,09,09
112,214456,--,--,--,021/025,035/050,--,74,01,A+,09,09
