,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214452,025/050,031/050,056/100,--,--,--,56,04,B+,07,28
1,214452,020/050,030/050,050/100,--,--,--,50,04,B,06,24
2,214452,034/050,029/050,063/100,--,--,--,63,04,A,08,32
3,214452,028/050,039/050,067/100,--,--,--,67,04,A,08,32
4,214452,023/050,026/050,049/100,--,--,--,49,04,C,05,20
5,214452,028/050,029/050,057/100,--,--,--,57,04,B+,07,28
6,214452,037/050,022/050,059/100,--,--,--,59,04,B+,07,28
7,214452,028/050,027/050,055/100,--,--,--,55,04,B+,07,28
8,214452,030/050,022/050,052/100,--,--,--,52,04,B,06,24
9,214452,032/050,032/050,064/100,--,--,--,64,04,A,08,32
10,214452,025/050,026/050,051/100,--,--,--,51,04,B,06,24
11,214452,021/050,020/050,041/100,--,--,--,41,04,P,04,16
12,214452,025/050,032/050,057/100,--,--,--,57,04,B+,07,28
13,214452,023/050,20$/050,043/100,--,--,--,43,04,P,04,16
14,214452,028/050,033/050,061/100,--,--,--,61,04,A,08,32
15,214452,032/050,035/050,067/100,--,--,--,67,04,A,08,32
16,214452,020/050,024/050,044/100,--,--,--,44,04,P,04,16
17,214452,029/050,031/050,060/100,--,--,--,60,04,A,08,32
18,214452,028/050,031/050,059/100,--,--,--,59,04,B+,07,28
19,214452,028/050,022/050,050/100,--,--,--,50,04,B,06,24
20,214452,024/050,017/050,041/100,--,--,--,FF,04,F,00,00
21,214452,033/050,025/050,058/100,--,--,--,58,04,B+,07,28
22,214452,039/050,030/050,069/100,--,--,--,69,04,A,08,32
23,214452,028/050,20$/050,048/100,--,--,--,48,04,C,05,20
24,214452,018/050,012/050,030/100,--,--,--,FF,04,F,00,00
25,214452,029/050,010/050,039/100,--,--,--,FF,04,F,00,00
26,214452,019/050,017/050,036/100,--,--,--,FF,04,F,00,00
27,214452,023/050,028/050,051/100,--,--,--,51,04,B,06,24
28,214452,020/050,024/050,044/100,--,--,--,44,04,P,04,16
29,214452,026/050,013/050,039/100,--,--,--,FF,04,F,00,00
30,214452,016/050,24$/050,040/100,--,--,--,40,04,P,04,16
31,214452,030/050,022/050,052/100,--,--,--,52,04,B,06,24
32,214452,022/050,AB/050,022/100,--,--,--,FF,04,F,00,00
33,214452,020/050,009/050,029/100,--,--,--,FF,04,F,00,00
34,214452,035/050,031/050,066/100,--,--,--,66,04,A,08,32
35,214452,025/050,033/050,058/100,--,--,--,58,04,B+,07,28
36,214452,032/050,024/050,056/100,--,--,--,56,04,B+,07,28
37,214452,032/050,029/050,061/100,--,--,--,61,04,A,08,32
38,214452,023/050,020/050,043/100,--,--,--,43,04,P,04,16
39,214452,026/050,017/050,043/100,--,--,--,FF,04,F,00,00
40,214452,025/050,017/050,042/100,--,--,--,FF,04,F,00,00
41,214452,027/050,025/050,052/100,--,--,--,52,04,B,06,24
42,214452,030/050,AB/050,030/100,--,--,--,FF,04,F,00,00
43,214452,030/050,013/050,043/100,--,--,--,FF,04,F,00,00
44,214452,027/050,023/050,050/100,--,--,--,50,04,B,06,24
45,214452,020/050,020/050,040/100,--,--,--,40,04,P,04,16
46,214452,027/050,021/050,048/100,--,--,--,48,04,C,05,20
47,214452,030/050,025/050,055/100,--,--,--,55,04,B+,07,28
48,214452,033/050,027/050,060/100,--,--,--,60,04,A,08,32
49,214452,026/050,020/050,046/100,--,--,--,46,04,C,05,20
50,214452,014/050,009/050,023/100,--,--,--,FF,04,F,00,00
