,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214442,036/050,031/050,067/100,--,--,--,67,04,A,08,32
1,214442,028/050,020/050,048/100,--,--,--,48,04,C,05,20
2,214442,034/050,023/050,057/100,--,--,--,57,04,B+,07,28
3,214442,022/050,021/050,043/100,--,--,--,43,04,P,04,16
4,214442,017/050,029/050,046/100,--,--,--,46,04,C,05,20
5,214442,032/050,029/050,061/100,--,--,--,61,04,A,08,32
6,214442,025/050,014/050,039/100,--,--,--,FF,04,F,00,00
7,214442,023/050,027/050,050/100,--,--,--,50,04,B,06,24
8,214442,016/050,028/050,044/100,--,--,--,44,04,P,04,16
9,214442,028/050,026/050,054/100,--,--,--,54,04,B,06,24
10,214442,023/050,022/050,045/100,--,--,--,45,04,C,05,20
11,214442,013/050,033/050,046/100,--,--,--,46,04,C,05,20
12,214442,026/050,020/050,046/100,--,--,--,46,04,C,05,20
13,214442,015/050,25$/050,040/100,--,--,--,40,04,P,04,16
14,214442,032/050,025/050,057/100,--,--,--,57,04,B+,07,28
15,214442,031/050,031/050,062/100,--,--,--,62,04,A,08,32
16,214442,027/050,023/050,050/100,--,--,--,50,04,B,06,24
17,214442,030/050,026/050,056/100,--,--,--,56,04,B+,07,28
18,214442,029/050,031/050,060/100,--,--,--,60,04,A,08,32
19,214442,021/050,022/050,043/100,--,--,--,43,04,P,04,16
20,214442,027/050,020/050,047/100,--,--,--,47,04,C,05,20
21,214442,033/050,028/050,061/100,--,--,--,61,04,A,08,32
22,214442,034/050,031/050,065/100,--,--,--,65,04,A,08,32
23,214442,017/050,027/050,044/100,--,--,--,44,04,P,04,16
24,214442,023/050,025/050,048/100,--,--,--,48,04,C,05,20
25,214442,026/050,021/050,047/100,--,--,--,47,04,C,05,20
26,214442,031/050,020/050,051/100,--,--,--,51,04,B,06,24
27,214442,019/050,028/050,047/100,--,--,--,47,04,C,05,20
28,214442,023/050,030/050,053/100,--,--,--,53,04,B,06,24
29,214442,020/050,025/050,045/100,--,--,--,45,04,C,05,20
30,214442,019/050,021/050,040/100,--,--,--,40,04,P,04,16
31,214442,029/050,025/050,054/100,--,--,--,54,04,B,06,24
32,214442,020/050,AB/050,020/100,--,--,--,FF,04,F,00,00
33,214442,014/050,AB/050,014/100,--,--,--,FF,04,F,00,00
34,214442,034/050,035/050,069/100,--,--,--,69,04,A,08,32
35,214442,026/050,031/050,057/100,--,--,--,57,04,B+,07,28
