,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
760,214451,019/050,21$/050,040/100,--,--,--,47,04,C,05,20
761,214452,025/050,022/050,047/100,--,--,--,68,02,A,08,16
762,214455,--,--,--,021/025,030/050,--,PP,00,P,00,00
763,214458,--,--,--,PP,--,--,PP,00,P,00,00
764,210250,--,--,--,PP,--,--,49,04,C,05,20
765,214441,026/050,023/050,049/100,--,--,--,45,04,C,05,20
766,214442,025/050,020/050,045/100,--,--,--,41,04,P,04,16
767,214443,020/050,021/050,041/100,--,--,--,46,04,C,05,20
768,214444,021/050,025/050,046/100,--,--,--,58,04,B+,07,28
769,214445,034/050,024/050,058/100,--,--,--,57,01,B+,07,07
770,214446,--,--,--,020/025,023/050,--,77,02,A+,09,18
771,214447,--,--,--,020/025,038/050,--,69,01,A,08,08
772,214448,--,--,--,020/025,032/050,--,76,01,A+,09,09
773,214449,--,--,--,019/025,--,--,72,01,A+,09,09
774,207003,--,--,--,018/025,--,--,51,03,B,06,18
775,214450,029/050,022/050,051/100,--,--,--,46,04,C,05,20
776,214452,025/050,021/050,046/100,--,--,--,66,02,A,08,16
777,214454,--,--,--,017/025,033/050,--,68,02,A,08,16
778,214455,--,--,--,017/025,034/050,--,64,01,A,08,08
779,214456,--,--,--,016/025,032/050,--,PP,00,P,00,00
780,214458,--,--,--,PP,--,--,55,04,B+,07,28
781,214441,032/050,023/050,055/100,--,--,--,47,04,C,05,20
782,214444,022/050,025/050,047/100,--,--,--,58,01,B+,07,07
783,214446,--,--,--,018/025,026/050,--,66,02,A,08,16
784,214447,--,--,--,018/025,032/050,--,65,01,A,08,08
785,214448,--,--,--,019/025,030/050,--,80,01,O,10,10
786,214449,--,--,--,020/025,--,--,PP,00,P,00,00
787,202054A,--,--,--,PP,--,--,PP,00,P,00,00
788,210250,--,--,--,PP,--,--,45,04,C,05,20
789,214441,023/050,022/050,045/100,--,--,--,55,04,B+,07,28
790,214442,030/050,025/050,055/100,--,--,--,41,04,P,04,16
791,214443,021/050,020/050,041/100,--,--,--,54,04,B,06,24
792,214444,028/050,026/050,054/100,--,--,--,53,04,B,06,24
793,214445,028/050,025/050,053/100,--,--,--,54,01,B,06,06
794,214446,--,--,--,020/025,021/050,--,57,02,B+,07,14
795,214447,--,--,--,021/025,022/050,--,66,01,A,08,08
796,214448,--,--,--,020/025,030/050,--,80,01,O,10,10
797,214449,--,--,--,020/025,--,--,47,04,C,05,20
798,207003,020/050,027/050,047/100,--,--,--,76,01,A+,09,09
799,207003,--,--,--,019/025,--,--,57,03,B+,07,21
800,214450,028/050,029/050,057/100,--,--,--,40,04,P,04,16
801,214451,020/050,020/050,040/100,--,--,--,42,04,P,04,16
802,214452,022/050,20$/050,042/100,--,--,--,69,02,A,08,16
803,214454,--,--,--,019/025,033/050,--,70,02,A+,09,18
804,214455,--,--,--,018/025,035/050,--,52,01,B,06,06
805,214456,--,--,--,018/025,021/050,--,PP,00,P,00,00
806,214458,--,--,--,PP,--,--,49,04,C,05,20
807,214441,028/050,021/050,049/100,--,--,--,52,04,B,06,24
808,214442,028/050,024/050,052/100,--,--,--,46,04,C,05,20
809,214443,026/050,020/050,046/100,--,--,--,58,04,B+,07,28
810,214444,027/050,031/050,058/100,--,--,--,58,04,B+,07,28
811,214445,030/050,028/050,058/100,--,--,--,62,01,A,08,08
812,214446,--,--,--,021/025,026/050,--,73,02,A+,09,18
813,214447,--,--,--,020/025,035/050,--,70,01,A+,09,09
814,214448,--,--,--,021/025,032/050,--,80,01,O,10,10
815,214449,--,--,--,020/025,--,--,PP,00,P,00,00
816,202054A,--,--,--,PP,--,--,53,04,B,06,24
817,214442,025/050,028/050,053/100,--,--,--,41,04,P,04,16
818,214443,021/050,020/050,041/100,--,--,--,49,04,C,05,20
819,214444,027/050,022/050,049/100,--,--,--,68,01,A,08,08
820,214446,--,--,--,021/025,030/050,--,61,02,A,08,16
821,214447,--,--,--,022/025,024/050,--,66,01,A,08,08
822,214448,--,--,--,022/025,028/050,--,72,01,A+,09,09
823,214449,--,--,--,018/025,--,--,PP,00,P,00,00
824,202054A,--,--,--,PP,--,--,49,04,C,05,20
825,214441,027/050,022/050,049/100,--,--,--,49,04,C,05,20
826,214442,027/050,022/050,049/100,--,--,--,56,04,B+,07,28
827,214443,030/050,026/050,056/100,--,--,--,56,04,B+,07,28
828,214444,026/050,030/050,056/100,--,--,--,51,04,B,06,24
829,214445,026/050,025/050,051/100,--,--,--,60,01,A,08,08
830,214446,--,--,--,020/025,025/050,--,84,02,O,10,20
831,214447,--,--,--,021/025,042/050,--,82,01,O,10,10
832,214448,--,--,--,020/025,042/050,--,80,01,O,10,10
833,214449,--,--,--,020/025,--,--,PP,00,P,00,00
834,202054A,--,--,--,PP,--,--,PP,00,P,00,00
835,210250,--,--,--,PP,--,--,43,04,P,04,16
836,214441,021/050,022/050,043/100,--,--,--,50,04,B,06,24
837,214442,029/050,021/050,050/100,--,--,--,66,04,A,08,32
838,214443,034/050,032/050,066/100,--,--,--,43,04,P,04,16
839,214444,021/050,022/050,043/100,--,--,--,66,04,A,08,32
840,214445,035/050,031/050,066/100,--,--,--,65,01,A,08,08
841,214446,--,--,--,019/025,030/050,--,73,02,A+,09,18
842,214447,--,--,--,020/025,035/050,--,69,01,A,08,08
843,214448,--,--,--,019/025,033/050,--,76,01,A+,09,09
844,214449,--,--,--,019/025,--,--,68,01,A,08,08
845,207003,--,--,--,017/025,--,--,57,03,B+,07,21
846,214450,026/050,031/050,057/100,--,--,--,43,04,P,04,16
847,214451,021/050,022/050,043/100,--,--,--,47,04,C,05,20
848,214452,019/050,028/050,047/100,--,--,--,68,04,A,08,32
849,214453,039/050,029/050,068/100,--,--,--,54,02,B,06,12
850,214454,--,--,--,016/025,025/050,--,60,02,A,08,16
851,214455,--,--,--,017/025,028/050,--,78,01,A+,09,09
852,214456,--,--,--,016/025,043/050,--,PP,00,P,00,00
853,214458,--,--,--,PP,--,--,52,04,B,06,24
854,214441,032/050,020/050,052/100,--,--,--,59,04,B+,07,28
855,214442,030/050,029/050,059/100,--,--,--,54,04,B,06,24
856,214443,034/050,020/050,054/100,--,--,--,62,04,A,08,32
857,214444,018/050,044/050,062/100,--,--,--,56,04,B+,07,28
858,214445,028/050,028/050,056/100,--,--,--,57,02,B+,07,14
859,214447,--,--,--,021/025,022/050,--,76,01,A+,09,09
860,214448,--,--,--,020/025,037/050,--,80,01,O,10,10
861,214449,--,--,--,020/025,--,--,PP,00,P,00,00
862,202054A,--,--,--,PP,--,--,PP,00,P,00,00
863,210250,--,--,--,PP,--,--,59,04,B+,07,28
864,214441,035/050,024/050,059/100,--,--,--,51,04,B,06,24
865,214442,026/050,025/050,051/100,--,--,--,51,04,B,06,24
866,214443,028/050,023/050,051/100,--,--,--,56,04,B+,07,28
867,214444,036/050,020/050,056/100,--,--,--,45,04,C,05,20
868,214445,023/050,022/050,045/100,--,--,--,66,01,A,08,08
869,214446,--,--,--,020/025,030/050,--,81,02,O,10,20
870,214447,--,--,--,018/025,043/050,--,73,01,A+,09,09
871,214448,--,--,--,020/025,035/050,--,80,01,O,10,10
872,214449,--,--,--,020/025,--,--,72,01,A+,09,09
873,207003,--,--,--,018/025,--,--,50,03,B,06,18
874,214450,027/050,023/050,050/100,--,--,--,45,04,C,05,20
875,214451,024/050,021/050,045/100,--,--,--,58,04,B+,07,28
876,214452,028/050,030/050,058/100,--,--,--,57,02,B+,07,14
877,214454,--,--,--,017/025,026/050,--,76,02,A+,09,18
878,214455,--,--,--,018/025,039/050,--,80,01,O,10,10
879,214456,--,--,--,018/025,042/050,--,PP,00,P,00,00
880,214458,--,--,--,PP,--,--,PP,00,P,00,00
881,210250,--,--,--,PP,--,--,48,04,C,05,20
882,214442,025/050,023/050,048/100,--,--,--,48,04,C,05,20
883,214443,026/050,022/050,048/100,--,--,--,45,04,C,05,20
884,214444,018/050,027/050,045/100,--,--,--,52,04,B,06,24
885,214445,030/050,022/050,052/100,--,--,--,57,01,B+,07,07
886,214446,--,--,--,022/025,021/050,--,78,02,A+,09,18
887,214447,--,--,--,021/025,038/050,--,68,01,A,08,08
888,214448,--,--,--,021/025,030/050,--,88,01,O,10,10
889,214449,--,--,--,022/025,--,--,48,04,C,05,20
890,207003,028/050,020/050,048/100,--,--,--,80,01,O,10,10
891,207003,--,--,--,020/025,--,--,44,03,P,04,12
892,214450,016/050,028/050,044/100,--,--,--,40,04,P,04,16
893,214451,017/050,23$/050,040/100,--,--,--,69,04,A,08,32
894,214453,039/050,030/050,069/100,--,--,--,68,02,A,08,16
895,214454,--,--,--,021/025,030/050,--,72,02,A+,09,18
896,214455,--,--,--,020/025,034/050,--,82,01,O,10,10
897,214456,--,--,--,020/025,042/050,--,PP,00,P,00,00
898,214458,--,--,--,PP,--,--,60,01,A,08,08
899,214449,--,--,--,015/025,--,--,PP,00,P,00,00
900,202054A,--,--,--,PP,--,--,41,04,P,04,16
901,214441,021/050,020/050,041/100,--,--,--,52,04,B,06,24
902,214442,030/050,022/050,052/100,--,--,--,62,01,A,08,08
903,214446,--,--,--,022/025,025/050,--,80,02,O,10,20
904,214447,--,--,--,023/025,037/050,--,72,01,A+,09,09
905,214448,--,--,--,023/025,031/050,--,72,01,A+,09,09
906,214449,--,--,--,018/025,--,--,PP,00,P,00,00
907,202054A,--,--,--,PP,--,--,PP,00,P,00,00
908,210250,--,--,--,PP,--,--,49,04,C,05,20
909,214442,027/050,022/050,049/100,--,--,--,47,04,C,05,20
910,214443,027/050,020/050,047/100,--,--,--,64,04,A,08,32
911,214444,031/050,033/050,064/100,--,--,--,59,04,B+,07,28
912,214445,027/050,032/050,059/100,--,--,--,57,01,B+,07,07
913,214446,--,--,--,023/025,020/050,--,80,02,O,10,20
914,214447,--,--,--,024/025,036/050,--,74,01,A+,09,09
915,214448,--,--,--,024/025,032/050,--,96,01,O,10,10
916,214449,--,--,--,024/025,--,--,88,01,O,10,10
917,207003,--,--,--,022/025,--,--,48,03,C,05,15
918,214450,022/050,026/050,048/100,--,--,--,42,04,P,04,16
919,214451,020/050,022/050,042/100,--,--,--,53,04,B,06,24
920,214453,033/050,020/050,053/100,--,--,--,77,02,A+,09,18
921,214454,--,--,--,022/025,036/050,--,73,02,A+,09,18
922,214455,--,--,--,021/025,034/050,--,80,01,O,10,10
923,214456,--,--,--,020/025,040/050,--,PP,00,P,00,00
924,214458,--,--,--,PP,--,--,49,04,C,05,20
925,214441,028/050,021/050,049/100,--,--,--,63,04,A,08,32
926,214442,036/050,027/050,063/100,--,--,--,63,04,A,08,32
927,214443,030/050,033/050,063/100,--,--,--,63,04,A,08,32
928,214444,038/050,025/050,063/100,--,--,--,60,04,A,08,32
