,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
185,207003,--,--,--,018/025,--,--,72,01,A+,09,09
186,207003,028/050,020/050,048/100,--,--,--,48,04,C,05,20
187,207003,--,--,--,020/025,--,--,80,01,O,10,10
188,207003,025/050,AB/050,025/100,--,--,--,FF,04,F,00,00
189,207003,--,--,--,015/025,--,--,60,01,A,08,08
190,207003,027/050,028/050,055/100,--,--,--,55,04,B+,07,28
191,207003,--,--,--,016/025,--,--,64,01,A,08,08
192,207003,024/050,020/050,044/100,--,--,--,44,04,P,04,16
193,207003,--,--,--,022/025,--,--,88,01,O,10,10
194,207003,047/050,034/050,081/100,--,--,--,81,04,O,10,40
195,207003,--,--,--,021/025,--,--,84,01,O,10,10
196,207003,033/050,17#/050,050/100,--,--,--,50,04,B,06,24
197,207003,--,--,--,022/025,--,--,88,01,O,10,10
198,207003,033/050,031/050,064/100,--,--,--,64,04,A,08,32
199,207003,--,--,--,021/025,--,--,84,01,O,10,10
200,207003,029/050,015/050,044/100,--,--,--,FF,04,F,00,00
201,207003,--,--,--,020/025,--,--,80,01,O,10,10
202,207003,037/050,026/050,063/100,--,--,--,63,04,A,08,32
203,207003,--,--,--,022/025,--,--,88,01,O,10,10
204,207003,028/050,021/050,049/100,--,--,--,49,04,C,05,20
205,207003,--,--,--,022/025,--,--,88,01,O,10,10
206,207003,021/050,20$/050,041/100,--,--,--,41,04,P,04,16
207,207003,--,--,--,020/025,--,--,80,01,O,10,10
208,207003,036/050,027/050,063/100,--,--,--,63,04,A,08,32
209,207003,--,--,--,016/025,--,--,64,01,A,08,08
210,207003,035/050,035/050,070/100,--,--,--,70,04,A+,09,36
211,207003,--,--,--,017/025,--,--,68,01,A,08,08
212,207003,031/050,004/050,035/100,--,--,--,FF,04,F,00,00
213,207003,--,--,--,016/025,--,--,64,01,A,08,08
214,207003,032/050,016/050,048/100,--,--,--,FF,04,F,00,00
215,207003,--,--,--,017/025,--,--,68,01,A,08,08
216,207003,022/050,020/050,042/100,--,--,--,42,04,P,04,16
217,207003,--,--,--,015/025,--,--,60,01,A,08,08
218,207003,027/050,023/050,050/100,--,--,--,50,04,B,06,24
219,207003,--,--,--,017/025,--,--,68,01,A,08,08
220,207003,043/050,027/050,070/100,--,--,--,70,04,A+,09,36
221,207003,--,--,--,021/025,--,--,84,01,O,10,10
222,207003,027/050,020/050,047/100,--,--,--,47,04,C,05,20
223,207003,--,--,--,020/025,--,--,80,01,O,10,10
224,207003,043/050,040/050,083/100,--,--,--,83,04,O,10,40
225,207003,--,--,--,023/025,--,--,92,01,O,10,10
226,207003,017/050,17!/050,34!/100,--,--,--,34,04,P,04,16
227,207003,--,--,--,017/025,--,--,68,01,A,08,08
228,207003,011/050,AB/050,011/100,--,--,--,FF,04,F,00,00
229,207003,--,--,--,016/025,--,--,64,01,A,08,08
230,207003,028/050,016/050,044/100,--,--,--,FF,04,F,00,00
231,207003,--,--,--,016/025,--,--,64,01,A,08,08
232,207003,020/050,000/050,020/100,--,--,--,FF,04,F,00,00
233,207003,--,--,--,016/025,--,--,64,01,A,08,08
234,207003,044/050,029/050,073/100,--,--,--,73,04,A+,09,36
235,207003,--,--,--,020/025,--,--,80,01,O,10,10
236,207003,034/050,AB/050,034/100,--,--,--,FF,04,F,00,00
237,207003,--,--,--,018/025,--,--,72,01,A+,09,09
238,207003,029/050,020/050,049/100,--,--,--,49,04,C,05,20
239,207003,--,--,--,016/025,--,--,64,01,A,08,08
240,207003,019/050,037/050,056/100,--,--,--,56,04,B+,07,28
241,207003,--,--,--,017/025,--,--,68,01,A,08,08
