,Unnamed: 0,Unnamed: 0,subject,subject,OE,OE,TH,TH,OE_TH,OE_TH,TW,TW,PR,PR,OR,OR,TOT,TOT,CRD,CRD,GRD,GRD,PTS1,PTS1,PTS2,PTS2,Unnamed: 0,Unnamed: 0,subject,subject,OE,OE,TH,TH,OE_TH,OE_TH,TW,TW,PR,PR,OR,OR,TOT,TOT,CRD,CRD,GRD,GRD,PTS1,PTS1,PTS2,PTS2
77,77,77,214441,214442,028/050,020/050,021/050,020/050,049/100,040/100,--,--,--,--,--,--,49,40,4,4,C,P,5,4,20,16,77,77,214441,214442,028/050,020/050,021/050,020/050,049/100,040/100,--,--,--,--,--,--,49,40,4,4,C,P,5,4,20,16
78,78,78,214441,214442,018/050,017/050,014/050,23$/050,032/100,040/100,--,--,--,--,--,--,FF,40,4,4,F,P,0,4,0,16,78,78,214441,214442,018/050,017/050,014/050,23$/050,032/100,040/100,--,--,--,--,--,--,FF,40,4,4,F,P,0,4,0,16
79,79,79,214441,214442,031/050,035/050,029/050,028/050,060/100,063/100,--,--,--,--,--,--,60,63,4,4,A,A,8,8,32,32,79,79,214441,214442,031/050,035/050,029/050,028/050,060/100,063/100,--,--,--,--,--,--,60,63,4,4,A,A,8,8,32,32
80,80,80,214441,214442,045/050,036/050,036/050,020/050,081/100,056/100,--,--,--,--,--,--,81,56,4,4,O,B+,10,7,40,28,80,80,214441,214442,045/050,036/050,036/050,020/050,081/100,056/100,--,--,--,--,--,--,81,56,4,4,O,B+,10,7,40,28
81,81,81,214441,214442,026/050,026/050,024/050,029/050,050/100,055/100,--,--,--,--,--,--,50,55,4,4,B,B+,6,7,24,28,81,81,214441,214442,026/050,026/050,024/050,029/050,050/100,055/100,--,--,--,--,--,--,50,55,4,4,B,B+,6,7,24,28
82,82,82,214441,214442,026/050,026/050,028/050,032/050,054/100,058/100,--,--,--,--,--,--,54,58,4,4,B,B+,6,7,24,28,82,82,214441,214442,026/050,026/050,028/050,032/050,054/100,058/100,--,--,--,--,--,--,54,58,4,4,B,B+,6,7,24,28
83,83,83,214441,214442,017/050,027/050,026/050,016/050,043/100,043/100,--,--,--,--,--,--,43,FF,4,4,P,F,4,0,16,0,83,83,214441,214442,017/050,027/050,026/050,016/050,043/100,043/100,--,--,--,--,--,--,43,FF,4,4,P,F,4,0,16,0
84,84,84,214441,214442,026/050,025/050,023/050,020/050,049/100,045/100,--,--,--,--,--,--,49,45,4,4,C,C,5,5,20,20,84,84,214441,214442,026/050,025/050,023/050,020/050,049/100,045/100,--,--,--,--,--,--,49,45,4,4,C,C,5,5,20,20
85,85,85,214441,214442,032/050,034/050,023/050,AB/050,055/100,034/100,--,--,--,--,--,--,55,FF,4,4,B+,F,7,0,28,0,85,85,214441,214442,032/050,034/050,023/050,AB/050,055/100,034/100,--,--,--,--,--,--,55,FF,4,4,B+,F,7,0,28,0
86,86,86,214441,214442,023/050,030/050,022/050,025/050,045/100,055/100,--,--,--,--,--,--,45,55,4,4,C,B+,5,7,20,28,86,86,214441,214442,023/050,030/050,022/050,025/050,045/100,055/100,--,--,--,--,--,--,45,55,4,4,C,B+,5,7,20,28
87,87,87,214441,214442,028/050,028/050,021/050,024/050,049/100,052/100,--,--,--,--,--,--,49,52,4,4,C,B,5,6,20,24,87,87,214441,214442,028/050,028/050,021/050,024/050,049/100,052/100,--,--,--,--,--,--,49,52,4,4,C,B,5,6,20,24
88,88,88,214441,214442,029/050,025/050,029/050,028/050,058/100,053/100,--,--,--,--,--,--,58,53,4,4,B+,B,7,6,28,24,88,88,214441,214442,029/050,025/050,029/050,028/050,058/100,053/100,--,--,--,--,--,--,58,53,4,4,B+,B,7,6,28,24
89,89,89,214441,214442,027/050,027/050,022/050,022/050,049/100,049/100,--,--,--,--,--,--,49,49,4,4,C,C,5,5,20,20,89,89,214441,214442,027/050,027/050,022/050,022/050,049/100,049/100,--,--,--,--,--,--,49,49,4,4,C,C,5,5,20,20
90,90,90,214441,214442,021/050,029/050,022/050,021/050,043/100,050/100,--,--,--,--,--,--,43,50,4,4,P,B,4,6,16,24,90,90,214441,214442,021/050,029/050,022/050,021/050,043/100,050/100,--,--,--,--,--,--,43,50,4,4,P,B,4,6,16,24
91,91,91,214441,214442,032/050,030/050,020/050,029/050,052/100,059/100,--,--,--,--,--,--,52,59,4,4,B,B+,6,7,24,28,91,91,214441,214442,032/050,030/050,020/050,029/050,052/100,059/100,--,--,--,--,--,--,52,59,4,4,B,B+,6,7,24,28
92,92,92,214441,214442,035/050,026/050,024/050,025/050,059/100,051/100,--,--,--,--,--,--,59,51,4,4,B+,B,7,6,28,24,92,92,214441,214442,035/050,026/050,024/050,025/050,059/100,051/100,--,--,--,--,--,--,59,51,4,4,B+,B,7,6,28,24
93,93,93,214441,214442,023/050,025/050,020/050,023/050,043/100,048/100,--,--,--,--,--,--,43,48,4,4,P,C,4,5,16,20,93,93,214441,214442,023/050,025/050,020/050,023/050,043/100,048/100,--,--,--,--,--,--,43,48,4,4,P,C,4,5,16,20
94,94,94,214441,214442,023/050,018/050,AB/050,AB/050,023/100,018/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,94,94,214441,214442,023/050,018/050,AB/050,AB/050,023/100,018/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
95,95,95,214441,214442,021/050,030/050,020/050,022/050,041/100,052/100,--,--,--,--,--,--,41,52,4,4,P,B,4,6,16,24,95,95,214441,214442,021/050,030/050,020/050,022/050,041/100,052/100,--,--,--,--,--,--,41,52,4,4,P,B,4,6,16,24
96,96,96,214441,214442,031/050,027/050,024/050,022/050,055/100,049/100,--,--,--,--,--,--,55,49,4,4,B+,C,7,5,28,20,96,96,214441,214442,031/050,027/050,024/050,022/050,055/100,049/100,--,--,--,--,--,--,55,49,4,4,B+,C,7,5,28,20
97,97,97,214441,214442,028/050,036/050,021/050,027/050,049/100,063/100,--,--,--,--,--,--,49,63,4,4,C,A,5,8,20,32,97,97,214441,214442,028/050,036/050,021/050,027/050,049/100,063/100,--,--,--,--,--,--,49,63,4,4,C,A,5,8,20,32
