,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214451,034/050,025/050,059/100,--,--,--,59,04,B+,07,28
1,214451,018/050,014/050,032/100,--,--,--,FF,04,F,00,00
2,214451,031/050,025/050,056/100,--,--,--,56,04,B+,07,28
3,214451,025/050,020/050,045/100,--,--,--,45,04,C,05,20
4,214451,023/050,013/050,036/100,--,--,--,FF,04,F,00,00
5,214451,019/050,024/050,043/100,--,--,--,43,04,P,04,16
6,214451,023/050,AB/050,023/100,--,--,--,FF,04,F,00,00
7,214451,024/050,020/050,044/100,--,--,--,44,04,P,04,16
8,214451,022/050,020/050,042/100,--,--,--,42,04,P,04,16
9,214451,025/050,022/050,047/100,--,--,--,47,04,C,05,20
10,214451,017/050,006/050,023/100,--,--,--,FF,04,F,00,00
11,214451,019/050,029/050,048/100,--,--,--,48,04,C,05,20
12,214451,020/050,020/050,040/100,--,--,--,40,04,P,04,16
13,214451,022/050,022/050,044/100,--,--,--,44,04,P,04,16
14,214451,032/050,026/050,058/100,--,--,--,58,04,B+,07,28
15,214451,036/050,030/050,066/100,--,--,--,66,04,A,08,32
16,214451,029/050,022/050,051/100,--,--,--,51,04,B,06,24
17,214451,018/050,22$/050,040/100,--,--,--,40,04,P,04,16
18,214451,029/050,020/050,049/100,--,--,--,49,04,C,05,20
19,214451,031/050,020/050,051/100,--,--,--,51,04,B,06,24
20,214451,026/050,008/050,034/100,--,--,--,FF,04,F,00,00
21,214451,026/050,023/050,049/100,--,--,--,49,04,C,05,20
22,214451,037/050,020/050,057/100,--,--,--,57,04,B+,07,28
23,214451,023/050,014/050,037/100,--,--,--,FF,04,F,00,00
24,214451,023/050,014/050,037/100,--,--,--,FF,04,F,00,00
25,214451,022/050,013/050,035/100,--,--,--,FF,04,F,00,00
26,214451,021/050,013/050,034/100,--,--,--,FF,04,F,00,00
27,214451,028/050,030/050,058/100,--,--,--,58,04,B+,07,28
28,214451,011/050,29$/050,040/100,--,--,--,40,04,P,04,16
29,214451,013/050,013/050,026/100,--,--,--,FF,04,F,00,00
30,214451,029/050,029/050,058/100,--,--,--,58,04,B+,07,28
31,214451,022/050,020/050,042/100,--,--,--,42,04,P,04,16
32,214451,018/050,000/050,018/100,--,--,--,FF,04,F,00,00
33,214451,018/050,000/050,018/100,--,--,--,FF,04,F,00,00
34,214451,031/050,023/050,054/100,--,--,--,54,04,B,06,24
35,214451,027/050,020/050,047/100,--,--,--,47,04,C,05,20
36,214451,037/050,020/050,057/100,--,--,--,57,04,B+,07,28
37,214451,024/050,022/050,046/100,--,--,--,46,04,C,05,20
38,214451,025/050,AB/050,025/100,--,--,--,FF,04,F,00,00
39,214451,024/050,AB/050,024/100,--,--,--,FF,04,F,00,00
