,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214454,--,--,--,023/025,035/050,--,77,02,A+,09,18
1,214454,--,--,--,021/025,032/050,--,70,02,A+,09,18
2,214454,--,--,--,023/025,037/050,--,80,02,O,10,20
3,214454,--,--,--,022/025,045/050,--,89,02,O,10,20
4,214454,--,--,--,023/025,037/050,--,80,02,O,10,20
5,214454,--,--,--,023/025,038/050,--,81,02,O,10,20
6,214454,--,--,--,014/025,010/050,--,FF,02,F,00,00
7,214454,--,--,--,020/025,024/050,--,58,02,B+,07,14
8,214454,--,--,--,022/025,030/050,--,69,02,A,08,16
9,214454,--,--,--,022/025,030/050,--,69,02,A,08,16
10,214454,--,--,--,017/025,025/050,--,56,02,B+,07,14
11,214454,--,--,--,023/025,005/050,--,FF,02,F,00,00
12,214454,--,--,--,016/025,007/050,--,FF,02,F,00,00
13,214454,--,--,--,020/025,022/050,--,56,02,B+,07,14
14,214454,--,--,--,023/025,030/050,--,70,02,A+,09,18
15,214454,--,--,--,023/025,040/050,--,84,02,O,10,20
16,214454,--,--,--,021/025,022/050,--,57,02,B+,07,14
17,214454,--,--,--,020/025,023/050,--,57,02,B+,07,14
18,214454,--,--,--,021/025,025/050,--,61,02,A,08,16
19,214454,--,--,--,020/025,022/050,--,56,02,B+,07,14
20,214454,--,--,--,016/025,027/050,--,57,02,B+,07,14
21,214454,--,--,--,022/025,040/050,--,82,02,O,10,20
22,214454,--,--,--,023/025,044/050,--,89,02,O,10,20
23,214454,--,--,--,022/025,008/050,--,FF,02,F,00,00
24,214454,--,--,--,020/025,011/050,--,FF,02,F,00,00
25,214454,--,--,--,019/025,025/050,--,58,02,B+,07,14
26,214454,--,--,--,016/025,020/050,--,48,02,C,05,10
27,214454,--,--,--,023/025,038/050,--,81,02,O,10,20
28,214454,--,--,--,021/025,038/050,--,78,02,A+,09,18
29,214454,--,--,--,019/025,010/050,--,FF,02,F,00,00
30,214454,--,--,--,019/025,011/050,--,FF,02,F,00,00
31,214454,--,--,--,020/025,007/050,--,FF,02,F,00,00
32,214454,--,--,--,017/025,021/050,--,50,02,B,06,12
33,214454,--,--,--,017/025,005/050,--,FF,02,F,00,00
34,214454,--,--,--,023/025,043/050,--,88,02,O,10,20
35,214454,--,--,--,021/025,030/050,--,68,02,A,08,16
36,214454,--,--,--,023/025,042/050,--,86,02,O,10,20
37,214454,--,--,--,021/025,042/050,--,84,02,O,10,20
38,214454,--,--,--,015/025,008/050,--,FF,02,F,00,00
39,214454,--,--,--,021/025,022/050,--,57,02,B+,07,14
40,214454,--,--,--,015/025,022/050,--,49,02,C,05,10
41,214454,--,--,--,021/025,030/050,--,68,02,A,08,16
42,214454,--,--,--,013/025,002/050,--,FF,02,F,00,00
43,214454,--,--,--,015/025,022/050,--,49,02,C,05,10
44,214454,--,--,--,020/025,025/050,--,60,02,A,08,16
45,214454,--,--,--,018/025,020/050,--,50,02,B,06,12
46,214454,--,--,--,023/025,038/050,--,81,02,O,10,20
47,214454,--,--,--,018/025,032/050,--,66,02,A,08,16
48,214454,--,--,--,016/025,035/050,--,68,02,A,08,16
49,214454,--,--,--,022/025,035/050,--,76,02,A+,09,18
50,214454,--,--,--,021/025,035/050,--,74,02,A+,09,18
51,214454,--,--,--,016/025,027/050,--,57,02,B+,07,14
52,214454,--,--,--,021/025,042/050,--,84,02,O,10,20
53,214454,--,--,--,020/025,028/050,--,64,02,A,08,16
54,214454,--,--,--,015/025,003/050,--,FF,02,F,00,00
55,214454,--,--,--,021/025,030/050,--,68,02,A,08,16
56,214454,--,--,--,018/025,008/050,--,FF,02,F,00,00
57,214454,--,--,--,021/025,036/050,--,76,02,A+,09,18
58,214454,--,--,--,017/025,031/050,--,64,02,A,08,16
59,214454,--,--,--,015/025,024/050,--,52,02,B,06,12
60,214454,--,--,--,018/025,021/050,--,52,02,B,06,12
61,214454,--,--,--,019/025,021/050,--,53,02,B,06,12
62,214454,--,--,--,022/025,038/050,--,80,02,O,10,20
63,214454,--,--,--,019/025,032/050,--,68,02,A,08,16
64,214454,--,--,--,022/025,038/050,--,80,02,O,10,20
65,214454,--,--,--,021/025,037/050,--,77,02,A+,09,18
66,214454,--,--,--,016/025,AB/050,--,FF,02,F,00,00
67,214454,--,--,--,022/025,041/050,--,84,02,O,10,20
68,214454,--,--,--,020/025,027/050,--,62,02,A,08,16
69,214454,--,--,--,016/025,030/050,--,61,02,A,08,16
70,214454,--,--,--,022/025,042/050,--,85,02,O,10,20
71,214454,--,--,--,016/025,AB/050,--,FF,02,F,00,00
72,214454,--,--,--,021/025,040/050,--,81,02,O,10,20
73,214454,--,--,--,013/025,AB/050,--,FF,02,F,00,00
74,214454,--,--,--,021/025,031/050,--,69,02,A,08,16
75,214454,--,--,--,021/025,027/050,--,64,02,A,08,16
76,214454,--,--,--,021/025,015/050,--,FF,02,F,00,00
77,214454,--,--,--,022/025,037/050,--,78,02,A+,09,18
78,214454,--,--,--,019/025,030/050,--,65,02,A,08,16
79,214454,--,--,--,022/025,041/050,--,84,02,O,10,20
80,214454,--,--,--,022/025,038/050,--,80,02,O,10,20
81,214454,--,--,--,022/025,020/050,--,56,02,B+,07,14
82,214454,--,--,--,017/025,026/050,--,57,02,B+,07,14
83,214454,--,--,--,016/025,022/050,--,50,02,B,06,12
84,214454,--,--,--,017/025,033/050,--,66,02,A,08,16
85,214454,--,--,--,015/025,024/050,--,52,02,B,06,12
86,214454,--,--,--,019/025,033/050,--,69,02,A,08,16
87,214454,--,--,--,021/025,036/050,--,76,02,A+,09,18
