,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214449,--,--,--,020/025,--,--,80,01,O,10,10
1,214449,--,--,--,019/025,--,--,76,01,A+,09,09
2,214449,--,--,--,020/025,--,--,80,01,O,10,10
3,214449,--,--,--,021/025,--,--,84,01,O,10,10
4,214449,--,--,--,021/025,--,--,84,01,O,10,10
5,214449,--,--,--,021/025,--,--,84,01,O,10,10
6,214449,--,--,--,019/025,--,--,76,01,A+,09,09
7,214449,--,--,--,019/025,--,--,76,01,A+,09,09
8,214449,--,--,--,020/025,--,--,80,01,O,10,10
9,214449,--,--,--,020/025,--,--,80,01,O,10,10
10,214449,--,--,--,016/025,--,--,64,01,A,08,08
11,214449,--,--,--,020/025,--,--,80,01,O,10,10
12,214449,--,--,--,016/025,--,--,64,01,A,08,08
13,214449,--,--,--,020/025,--,--,80,01,O,10,10
14,214449,--,--,--,021/025,--,--,84,01,O,10,10
15,214449,--,--,--,019/025,--,--,76,01,A+,09,09
16,214449,--,--,--,020/025,--,--,80,01,O,10,10
17,214449,--,--,--,021/025,--,--,84,01,O,10,10
18,214449,--,--,--,021/025,--,--,84,01,O,10,10
19,214449,--,--,--,021/025,--,--,84,01,O,10,10
20,214449,--,--,--,017/025,--,--,68,01,A,08,08
21,214449,--,--,--,021/025,--,--,84,01,O,10,10
22,214449,--,--,--,021/025,--,--,84,01,O,10,10
23,214449,--,--,--,021/025,--,--,84,01,O,10,10
24,214449,--,--,--,018/025,--,--,72,01,A+,09,09
25,214449,--,--,--,020/025,--,--,80,01,O,10,10
26,214449,--,--,--,019/025,--,--,76,01,A+,09,09
27,214449,--,--,--,021/025,--,--,84,01,O,10,10
28,214449,--,--,--,023/025,--,--,92,01,O,10,10
29,214449,--,--,--,018/025,--,--,72,01,A+,09,09
30,214449,--,--,--,019/025,--,--,76,01,A+,09,09
31,214449,--,--,--,022/025,--,--,88,01,O,10,10
32,214449,--,--,--,015/025,--,--,60,01,A,08,08
33,214449,--,--,--,017/025,--,--,68,01,A,08,08
34,214449,--,--,--,021/025,--,--,84,01,O,10,10
35,214449,--,--,--,019/025,--,--,76,01,A+,09,09
36,214449,--,--,--,021/025,--,--,84,01,O,10,10
37,214449,--,--,--,020/025,--,--,80,01,O,10,10
38,214449,--,--,--,017/025,--,--,68,01,A,08,08
39,214449,--,--,--,018/025,--,--,72,01,A+,09,09
40,214449,--,--,--,016/025,--,--,64,01,A,08,08
41,214449,--,--,--,016/025,--,--,64,01,A,08,08
42,214449,--,--,--,016/025,--,--,64,01,A,08,08
43,214449,--,--,--,014/025,--,--,56,01,B+,07,07
44,214449,--,--,--,021/025,--,--,84,01,O,10,10
45,214449,--,--,--,018/025,--,--,72,01,A+,09,09
46,214449,--,--,--,020/025,--,--,80,01,O,10,10
47,214449,--,--,--,020/025,--,--,80,01,O,10,10
48,214449,--,--,--,017/025,--,--,68,01,A,08,08
49,214449,--,--,--,023/025,--,--,92,01,O,10,10
50,214449,--,--,--,020/025,--,--,80,01,O,10,10
51,214449,--,--,--,023/025,--,--,92,01,O,10,10
52,214449,--,--,--,022/025,--,--,88,01,O,10,10
53,214449,--,--,--,020/025,--,--,80,01,O,10,10
54,214449,--,--,--,015/025,--,--,60,01,A,08,08
55,214449,--,--,--,021/025,--,--,84,01,O,10,10
56,214449,--,--,--,018/025,--,--,72,01,A+,09,09
57,214449,--,--,--,021/025,--,--,84,01,O,10,10
58,214449,--,--,--,018/025,--,--,72,01,A+,09,09
59,214449,--,--,--,018/025,--,--,72,01,A+,09,09
60,214449,--,--,--,018/025,--,--,72,01,A+,09,09
61,214449,--,--,--,018/025,--,--,72,01,A+,09,09
62,214449,--,--,--,023/025,--,--,92,01,O,10,10
63,214449,--,--,--,019/025,--,--,76,01,A+,09,09
64,214449,--,--,--,023/025,--,--,92,01,O,10,10
65,214449,--,--,--,020/025,--,--,80,01,O,10,10
66,214449,--,--,--,018/025,--,--,72,01,A+,09,09
67,214449,--,--,--,022/025,--,--,88,01,O,10,10
