,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214448,--,--,--,023/025,038/050,--,81,01,O,10,10
1,214448,--,--,--,022/025,021/050,--,57,01,B+,07,07
2,214448,--,--,--,021/025,040/050,--,81,01,O,10,10
3,214448,--,--,--,023/025,044/050,--,89,01,O,10,10
4,214448,--,--,--,023/025,044/050,--,89,01,O,10,10
5,214448,--,--,--,022/025,040/050,--,82,01,O,10,10
6,214448,--,--,--,018/025,033/050,--,68,01,A,08,08
7,214448,--,--,--,022/025,034/050,--,74,01,A+,09,09
8,214448,--,--,--,021/025,036/050,--,76,01,A+,09,09
9,214448,--,--,--,021/025,040/050,--,81,01,O,10,10
10,214448,--,--,--,017/025,032/050,--,65,01,A,08,08
11,214448,--,--,--,021/025,036/050,--,76,01,A+,09,09
12,214448,--,--,--,016/025,026/050,--,56,01,B+,07,07
13,214448,--,--,--,021/025,034/050,--,73,01,A+,09,09
14,214448,--,--,--,023/025,037/050,--,80,01,O,10,10
15,214448,--,--,--,023/025,045/050,--,90,01,O,10,10
16,214448,--,--,--,021/025,044/050,--,86,01,O,10,10
17,214448,--,--,--,020/025,039/050,--,78,01,A+,09,09
18,214448,--,--,--,023/025,045/050,--,90,01,O,10,10
19,214448,--,--,--,022/025,043/050,--,86,01,O,10,10
20,214448,--,--,--,016/025,037/050,--,70,01,A+,09,09
21,214448,--,--,--,022/025,039/050,--,81,01,O,10,10
22,214448,--,--,--,024/025,044/050,--,90,01,O,10,10
23,214448,--,--,--,022/025,039/050,--,81,01,O,10,10
24,214448,--,--,--,020/025,021/050,--,54,01,B,06,06
25,214448,--,--,--,021/025,043/050,--,85,01,O,10,10
26,214448,--,--,--,020/025,043/050,--,84,01,O,10,10
27,214448,--,--,--,021/025,037/050,--,77,01,A+,09,09
28,214448,--,--,--,023/025,042/050,--,86,01,O,10,10
29,214448,--,--,--,017/025,035/050,--,69,01,A,08,08
30,214448,--,--,--,020/025,037/050,--,76,01,A+,09,09
31,214448,--,--,--,021/025,032/050,--,70,01,A+,09,09
32,214448,--,--,--,017/025,021/050,--,50,01,B,06,06
33,214448,--,--,--,018/025,030/050,--,64,01,A,08,08
34,214448,--,--,--,023/025,042/050,--,86,01,O,10,10
35,214448,--,--,--,021/025,033/050,--,72,01,A+,09,09
36,214448,--,--,--,023/025,040/050,--,84,01,O,10,10
37,214448,--,--,--,021/025,040/050,--,81,01,O,10,10
38,214448,--,--,--,017/025,030/050,--,62,01,A,08,08
39,214448,--,--,--,020/025,010/050,--,FF,01,F,00,00
40,214448,--,--,--,018/025,008/050,--,FF,01,F,00,00
41,214448,--,--,--,021/025,037/050,--,77,01,A+,09,09
42,214448,--,--,--,018/025,005/050,--,FF,01,F,00,00
43,214448,--,--,--,014/025,028/050,--,56,01,B+,07,07
44,214448,--,--,--,021/025,034/050,--,73,01,A+,09,09
45,214448,--,--,--,020/025,028/050,--,64,01,A,08,08
46,214448,--,--,--,020/025,039/050,--,78,01,A+,09,09
47,214448,--,--,--,019/025,035/050,--,72,01,A+,09,09
48,214448,--,--,--,017/025,033/050,--,66,01,A,08,08
49,214448,--,--,--,022/025,030/050,--,69,01,A,08,08
50,214448,--,--,--,022/025,033/050,--,73,01,A+,09,09
51,214448,--,--,--,023/025,036/050,--,78,01,A+,09,09
52,214448,--,--,--,019/025,036/050,--,73,01,A+,09,09
53,214448,--,--,--,022/025,034/050,--,74,01,A+,09,09
54,214448,--,--,--,015/025,030/050,--,60,01,A,08,08
55,214448,--,--,--,023/025,038/050,--,81,01,O,10,10
56,214448,--,--,--,018/025,033/050,--,68,01,A,08,08
57,214448,--,--,--,023/025,038/050,--,81,01,O,10,10
58,214448,--,--,--,019/025,033/050,--,69,01,A,08,08
59,214448,--,--,--,016/025,035/050,--,68,01,A,08,08
60,214448,--,--,--,022/025,035/050,--,76,01,A+,09,09
61,214448,--,--,--,019/025,028/050,--,62,01,A,08,08
62,214448,--,--,--,023/025,035/050,--,77,01,A+,09,09
63,214448,--,--,--,022/025,032/050,--,72,01,A+,09,09
64,214448,--,--,--,023/025,039/050,--,82,01,O,10,10
65,214448,--,--,--,023/025,042/050,--,86,01,O,10,10
66,214448,--,--,--,020/025,033/050,--,70,01,A+,09,09
67,214448,--,--,--,024/025,039/050,--,84,01,O,10,10
68,214448,--,--,--,021/025,032/050,--,70,01,A+,09,09
69,214448,--,--,--,019/025,036/050,--,73,01,A+,09,09
70,214448,--,--,--,023/025,042/050,--,86,01,O,10,10
71,214448,--,--,--,013/025,035/050,--,64,01,A,08,08
72,214448,--,--,--,021/025,038/050,--,78,01,A+,09,09
73,214448,--,--,--,016/025,009/050,--,FF,01,F,00,00
74,214448,--,--,--,022/025,025/050,--,62,01,A,08,08
75,214448,--,--,--,022/025,035/050,--,76,01,A+,09,09
76,214448,--,--,--,021/025,032/050,--,70,01,A+,09,09
77,214448,--,--,--,022/025,033/050,--,73,01,A+,09,09
78,214448,--,--,--,022/025,027/050,--,65,01,A,08,08
79,214448,--,--,--,023/025,037/050,--,80,01,O,10,10
80,214448,--,--,--,023/025,041/050,--,85,01,O,10,10
81,214448,--,--,--,022/025,032/050,--,72,01,A+,09,09
82,214448,--,--,--,020/025,042/050,--,82,01,O,10,10
83,214448,--,--,--,021/025,033/050,--,72,01,A+,09,09
84,214448,--,--,--,020/025,032/050,--,69,01,A,08,08
85,214448,--,--,--,019/025,030/050,--,65,01,A,08,08
86,214448,--,--,--,020/025,030/050,--,66,01,A,08,08
87,214448,--,--,--,021/025,032/050,--,70,01,A+,09,09
88,214448,--,--,--,022/025,028/050,--,66,01,A,08,08
89,214448,--,--,--,020/025,042/050,--,82,01,O,10,10
90,214448,--,--,--,019/025,033/050,--,69,01,A,08,08
91,214448,--,--,--,020/025,037/050,--,76,01,A+,09,09
92,214448,--,--,--,020/025,035/050,--,73,01,A+,09,09
93,214448,--,--,--,021/025,030/050,--,68,01,A,08,08
94,214448,--,--,--,015/025,AB/050,--,FF,01,F,00,00
95,214448,--,--,--,023/025,031/050,--,72,01,A+,09,09
96,214448,--,--,--,024/025,032/050,--,74,01,A+,09,09
97,214448,--,--,--,023/025,036/050,--,78,01,A+,09,09
98,214448,--,--,--,023/025,036/050,--,78,01,A+,09,09
99,214448,--,--,--,023/025,036/050,--,78,01,A+,09,09
100,214448,--,--,--,021/025,039/050,--,80,01,O,10,10
101,214448,--,--,--,022/025,038/050,--,80,01,O,10,10
102,214448,--,--,--,021/025,029/050,--,66,01,A,08,08
103,214448,--,--,--,022/025,035/050,--,76,01,A+,09,09
104,214448,--,--,--,023/025,022/050,--,60,01,A,08,08
105,214448,--,--,--,021/025,025/050,--,61,01,A,08,08
106,214448,--,--,--,015/025,030/050,--,60,01,A,08,08
107,214448,--,--,--,022/025,040/050,--,82,01,O,10,10
108,214448,--,--,--,014/025,021/050,--,46,01,C,05,05
109,214448,--,--,--,018/025,024/050,--,56,01,B+,07,07
110,214448,--,--,--,024/025,043/050,--,89,01,O,10,10
111,214448,--,--,--,020/025,035/050,--,73,01,A+,09,09
112,214448,--,--,--,021/025,032/050,--,70,01,A+,09,09
113,214448,--,--,--,019/025,028/050,--,62,01,A,08,08
114,214448,--,--,--,016/025,039/050,--,73,01,A+,09,09
115,214448,--,--,--,021/025,032/050,--,70,01,A+,09,09
116,214448,--,--,--,018/025,036/050,--,72,01,A+,09,09
117,214448,--,--,--,024/025,043/050,--,89,01,O,10,10
118,214448,--,--,--,014/025,024/050,--,50,01,B,06,06
119,214448,--,--,--,016/025,028/050,--,58,01,B+,07,07
120,214448,--,--,--,016/025,036/050,--,69,01,A,08,08
121,214448,--,--,--,018/025,024/050,--,56,01,B+,07,07
122,214448,--,--,--,022/025,036/050,--,77,01,A+,09,09
123,214448,--,--,--,024/025,046/050,--,93,01,O,10,10
124,214448,--,--,--,023/025,025/050,--,64,01,A,08,08
125,214448,--,--,--,020/025,034/050,--,72,01,A+,09,09
126,214448,--,--,--,016/025,008/050,--,FF,01,F,00,00
127,214448,--,--,--,022/025,032/050,--,72,01,A+,09,09
128,214448,--,--,--,023/025,033/050,--,74,01,A+,09,09
129,214448,--,--,--,022/025,041/050,--,84,01,O,10,10
