,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214447,--,--,--,023/025,038/050,--,81,02,O,10,20
1,214447,--,--,--,022/025,020/050,--,56,02,B+,07,14
2,214447,--,--,--,021/025,034/050,--,73,02,A+,09,18
3,214447,--,--,--,022/025,038/050,--,80,02,O,10,20
4,214447,--,--,--,023/025,044/050,--,89,02,O,10,20
5,214447,--,--,--,022/025,020/050,--,56,02,B+,07,14
6,214447,--,--,--,019/025,000/050,--,FF,02,F,00,00
7,214447,--,--,--,022/025,031/050,--,70,02,A+,09,18
8,214447,--,--,--,022/025,041/050,--,84,02,O,10,20
9,214447,--,--,--,020/025,032/050,--,69,02,A,08,16
10,214447,--,--,--,017/025,027/050,--,58,02,B+,07,14
11,214447,--,--,--,021/025,033/050,--,72,02,A+,09,18
12,214447,--,--,--,017/025,024/050,--,54,02,B,06,12
13,214447,--,--,--,021/025,026/050,--,62,02,A,08,16
14,214447,--,--,--,023/025,040/050,--,84,02,O,10,20
15,214447,--,--,--,023/025,040/050,--,84,02,O,10,20
16,214447,--,--,--,021/025,020/050,--,54,02,B,06,12
17,214447,--,--,--,020/025,033/050,--,70,02,A+,09,18
18,214447,--,--,--,022/025,043/050,--,86,02,O,10,20
19,214447,--,--,--,022/025,033/050,--,73,02,A+,09,18
20,214447,--,--,--,017/025,040/050,--,76,02,A+,09,18
21,214447,--,--,--,022/025,039/050,--,81,02,O,10,20
22,214447,--,--,--,024/025,044/050,--,90,02,O,10,20
23,214447,--,--,--,023/025,035/050,--,77,02,A+,09,18
24,214447,--,--,--,020/025,033/050,--,70,02,A+,09,18
25,214447,--,--,--,021/025,044/050,--,86,02,O,10,20
26,214447,--,--,--,020/025,025/050,--,60,02,A,08,16
27,214447,--,--,--,021/025,026/050,--,62,02,A,08,16
28,214447,--,--,--,022/025,039/050,--,81,02,O,10,20
29,214447,--,--,--,018/025,035/050,--,70,02,A+,09,18
30,214447,--,--,--,021/025,037/050,--,77,02,A+,09,18
31,214447,--,--,--,021/025,038/050,--,78,02,A+,09,18
32,214447,--,--,--,016/025,AB/050,--,FF,02,F,00,00
33,214447,--,--,--,018/025,AB/050,--,FF,02,F,00,00
34,214447,--,--,--,023/025,046/050,--,92,02,O,10,20
35,214447,--,--,--,021/025,045/050,--,88,02,O,10,20
36,214447,--,--,--,023/025,035/050,--,77,02,A+,09,18
37,214447,--,--,--,022/025,037/050,--,78,02,A+,09,18
38,214447,--,--,--,019/025,030/050,--,65,02,A,08,16
39,214447,--,--,--,020/025,033/050,--,70,02,A+,09,18
40,214447,--,--,--,017/025,033/050,--,66,02,A,08,16
41,214447,--,--,--,020/025,020/050,--,53,02,B,06,12
42,214447,--,--,--,017/025,032/050,--,65,02,A,08,16
43,214447,--,--,--,015/025,028/050,--,57,02,B+,07,14
44,214447,--,--,--,022/025,035/050,--,76,02,A+,09,18
45,214447,--,--,--,021/025,022/050,--,57,02,B+,07,14
46,214447,--,--,--,021/025,041/050,--,82,02,O,10,20
47,214447,--,--,--,018/025,027/050,--,60,02,A,08,16
48,214447,--,--,--,018/025,022/050,--,53,02,B,06,12
49,214447,--,--,--,022/025,020/050,--,56,02,B+,07,14
50,214447,--,--,--,022/025,026/050,--,64,02,A,08,16
51,214447,--,--,--,021/025,040/050,--,81,02,O,10,20
52,214447,--,--,--,020/025,032/050,--,69,02,A,08,16
53,214447,--,--,--,022/025,026/050,--,64,02,A,08,16
54,214447,--,--,--,015/025,030/050,--,60,02,A,08,16
55,214447,--,--,--,023/025,035/050,--,77,02,A+,09,18
56,214447,--,--,--,017/025,022/050,--,52,02,B,06,12
57,214447,--,--,--,023/025,035/050,--,77,02,A+,09,18
58,214447,--,--,--,019/025,032/050,--,68,02,A,08,16
59,214447,--,--,--,016/025,022/050,--,50,02,B,06,12
60,214447,--,--,--,022/025,025/050,--,62,02,A,08,16
61,214447,--,--,--,020/025,027/050,--,62,02,A,08,16
62,214447,--,--,--,023/025,036/050,--,78,02,A+,09,18
63,214447,--,--,--,021/025,032/050,--,70,02,A+,09,18
64,214447,--,--,--,024/025,044/050,--,90,02,O,10,20
65,214447,--,--,--,023/025,040/050,--,84,02,O,10,20
66,214447,--,--,--,020/025,028/050,--,64,02,A,08,16
67,214447,--,--,--,024/025,040/050,--,85,02,O,10,20
68,214447,--,--,--,021/025,026/050,--,62,02,A,08,16
69,214447,--,--,--,019/025,030/050,--,65,02,A,08,16
70,214447,--,--,--,023/025,038/050,--,81,02,O,10,20
71,214447,--,--,--,013/025,028/050,--,54,02,B,06,12
72,214447,--,--,--,020/025,034/050,--,72,02,A+,09,18
73,214447,--,--,--,015/025,AB/050,--,FF,02,F,00,00
