,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214441,030/050,024/050,054/100,--,--,--,54,04,B,06,24
1,214441,013/050,011/050,024/100,--,--,--,FF,04,F,00,00
2,214441,021/050,026/050,047/100,--,--,--,47,04,C,05,20
3,214441,022/050,035/050,057/100,--,--,--,57,04,B+,07,28
4,214441,016/050,24$/050,040/100,--,--,--,40,04,P,04,16
5,214441,020/050,028/050,048/100,--,--,--,48,04,C,05,20
6,214441,022/050,010/050,032/100,--,--,--,FF,04,F,00,00
7,214441,010/050,012/050,022/100,--,--,--,FF,04,F,00,00
8,214441,018/050,023/050,041/100,--,--,--,41,04,P,04,16
9,214441,015/050,25$/050,040/100,--,--,--,40,04,P,04,16
10,214441,023/050,017/050,040/100,--,--,--,FF,04,F,00,00
11,214441,030/050,003/050,033/100,--,--,--,FF,04,F,00,00
12,214441,019/050,024/050,043/100,--,--,--,43,04,P,04,16
13,214441,013/050,007/050,020/100,--,--,--,FF,04,F,00,00
14,214441,027/050,022/050,049/100,--,--,--,49,04,C,05,20
15,214441,018/050,034/050,052/100,--,--,--,52,04,B,06,24
16,214441,028/050,017/050,045/100,--,--,--,FF,04,F,00,00
17,214441,025/050,029/050,054/100,--,--,--,54,04,B,06,24
18,214441,034/050,022/050,056/100,--,--,--,56,04,B+,07,28
19,214441,019/050,013/050,032/100,--,--,--,FF,04,F,00,00
20,214441,013/050,017/050,030/100,--,--,--,FF,04,F,00,00
21,214441,025/050,026/050,051/100,--,--,--,51,04,B,06,24
22,214441,034/050,028/050,062/100,--,--,--,62,04,A,08,32
23,214441,024/050,007/050,031/100,--,--,--,FF,04,F,00,00
24,214441,016/050,017/050,033/100,--,--,--,FF,04,F,00,00
25,214441,019/050,014/050,033/100,--,--,--,FF,04,F,00,00
26,214441,014/050,011/050,025/100,--,--,--,FF,04,F,00,00
27,214441,017/050,23$/050,040/100,--,--,--,40,04,P,04,16
28,214441,028/050,032/050,060/100,--,--,--,60,04,A,08,32
29,214441,033/050,030/050,063/100,--,--,--,63,04,A,08,32
30,214441,026/050,022/050,048/100,--,--,--,48,04,C,05,20
31,214441,030/050,039/050,069/100,--,--,--,69,04,A,08,32
32,214441,017/050,010/050,027/100,--,--,--,FF,04,F,00,00
33,214441,032/050,022/050,054/100,--,--,--,54,04,B,06,24
34,214441,044/050,020/050,064/100,--,--,--,64,04,A,08,32
35,214441,027/050,033/050,060/100,--,--,--,60,04,A,08,32
36,214441,036/050,024/050,060/100,--,--,--,60,04,A,08,32
37,214441,030/050,024/050,054/100,--,--,--,54,04,B,06,24
38,214441,024/050,020/050,044/100,--,--,--,44,04,P,04,16
39,214441,021/050,022/050,043/100,--,--,--,43,04,P,04,16
40,214441,021/050,021/050,042/100,--,--,--,42,04,P,04,16
41,214441,026/050,020/050,046/100,--,--,--,46,04,C,05,20
42,214441,019/050,009/050,028/100,--,--,--,FF,04,F,00,00
43,214441,020/050,026/050,046/100,--,--,--,46,04,C,05,20
44,214441,029/050,029/050,058/100,--,--,--,58,04,B+,07,28
45,214441,026/050,034/050,060/100,--,--,--,60,04,A,08,32
46,214441,016/050,027/050,043/100,--,--,--,43,04,P,04,16
47,214441,030/050,027/050,057/100,--,--,--,57,04,B+,07,28
48,214441,019/050,033/050,052/100,--,--,--,52,04,B,06,24
49,214441,035/050,027/050,062/100,--,--,--,62,04,A,08,32
50,214441,020/050,020/050,040/100,--,--,--,40,04,P,04,16
51,214441,032/050,027/050,059/100,--,--,--,59,04,B+,07,28
52,214441,036/050,026/050,062/100,--,--,--,62,04,A,08,32
53,214441,028/050,026/050,054/100,--,--,--,54,04,B,06,24
54,214441,021/050,024/050,045/100,--,--,--,45,04,C,05,20
55,214441,027/050,032/050,059/100,--,--,--,59,04,B+,07,28
56,214441,025/050,021/050,046/100,--,--,--,46,04,C,05,20
57,214441,033/050,032/050,065/100,--,--,--,65,04,A,08,32
58,214441,036/050,024/050,060/100,--,--,--,60,04,A,08,32
59,214441,031/050,023/050,054/100,--,--,--,54,04,B,06,24
60,214441,010/050,30$/050,040/100,--,--,--,40,04,P,04,16
61,214441,028/050,029/050,057/100,--,--,--,57,04,B+,07,28
62,214441,024/050,024/050,048/100,--,--,--,48,04,C,05,20
63,214441,023/050,020/050,043/100,--,--,--,43,04,P,04,16
64,214441,037/050,024/050,061/100,--,--,--,61,04,A,08,32
65,214441,030/050,028/050,058/100,--,--,--,58,04,B+,07,28
66,214441,011/050,AB/050,011/100,--,--,--,FF,04,F,00,00
67,214441,032/050,025/050,057/100,--,--,--,57,04,B+,07,28
68,214441,019/050,025/050,044/100,--,--,--,44,04,P,04,16
69,214441,030/050,020/050,050/100,--,--,--,50,04,B,06,24
70,214441,035/050,026/050,061/100,--,--,--,61,04,A,08,32
71,214441,034/050,020/050,054/100,--,--,--,54,04,B,06,24
72,214441,032/050,022/050,054/100,--,--,--,54,04,B,06,24
73,214441,012/050,006/050,018/100,--,--,--,FF,04,F,00,00
74,214441,021/050,029/050,050/100,--,--,--,50,04,B,06,24
75,214441,025/050,021/050,046/100,--,--,--,46,04,C,05,20
76,214441,023/050,024/050,047/100,--,--,--,47,04,C,05,20
77,214441,028/050,021/050,049/100,--,--,--,49,04,C,05,20
78,214441,018/050,014/050,032/100,--,--,--,FF,04,F,00,00
79,214441,031/050,029/050,060/100,--,--,--,60,04,A,08,32
80,214441,045/050,036/050,081/100,--,--,--,81,04,O,10,40
81,214441,026/050,024/050,050/100,--,--,--,50,04,B,06,24
82,214441,026/050,028/050,054/100,--,--,--,54,04,B,06,24
83,214441,017/050,026/050,043/100,--,--,--,43,04,P,04,16
84,214441,026/050,023/050,049/100,--,--,--,49,04,C,05,20
85,214441,032/050,023/050,055/100,--,--,--,55,04,B+,07,28
86,214441,023/050,022/050,045/100,--,--,--,45,04,C,05,20
87,214441,028/050,021/050,049/100,--,--,--,49,04,C,05,20
88,214441,029/050,029/050,058/100,--,--,--,58,04,B+,07,28
89,214441,027/050,022/050,049/100,--,--,--,49,04,C,05,20
90,214441,021/050,022/050,043/100,--,--,--,43,04,P,04,16
91,214441,032/050,020/050,052/100,--,--,--,52,04,B,06,24
92,214441,035/050,024/050,059/100,--,--,--,59,04,B+,07,28
93,214441,023/050,020/050,043/100,--,--,--,43,04,P,04,16
94,214441,023/050,AB/050,023/100,--,--,--,FF,04,F,00,00
95,214441,021/050,020/050,041/100,--,--,--,41,04,P,04,16
96,214441,031/050,024/050,055/100,--,--,--,55,04,B+,07,28
97,214441,028/050,021/050,049/100,--,--,--,49,04,C,05,20
98,214441,031/050,027/050,058/100,--,--,--,58,04,B+,07,28
99,214441,047/050,032/050,079/100,--,--,--,79,04,A+,09,36
100,214441,028/050,017/050,045/100,--,--,--,FF,04,F,00,00
101,214441,032/050,030/050,062/100,--,--,--,62,04,A,08,32
102,214441,035/050,041/050,076/100,--,--,--,76,04,A+,09,36
103,214441,022/050,024/050,046/100,--,--,--,46,04,C,05,20
104,214441,039/050,020/050,059/100,--,--,--,59,04,B+,07,28
105,214441,035/050,034/050,069/100,--,--,--,69,04,A,08,32
106,214441,039/050,010/050,049/100,--,--,--,FF,04,F,00,00
107,214441,041/050,022/050,063/100,--,--,--,63,04,A,08,32
108,214441,034/050,021/050,055/100,--,--,--,55,04,B+,07,28
109,214441,024/050,037/050,061/100,--,--,--,61,04,A,08,32
110,214441,029/050,039/050,068/100,--,--,--,68,04,A,08,32
111,214441,022/050,20$/050,042/100,--,--,--,42,04,P,04,16
112,214441,033/050,034/050,067/100,--,--,--,67,04,A,08,32
