,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2
10,023/050,023/050,018/050,017/050,022/050,011/050,040/100,045/100,029/100,--,--,--,--,--,--,--,--,--,FF,45,FF,4,4,4,F,C,F,0,5,0,0,20,0,023/050,023/050,018/050,017/050,022/050,011/050,040/100,045/100,029/100,--,--,--,--,--,--,--,--,--,FF,45,FF,4,4,4,F,C,F,0,5,0,0,20,0,023/050,023/050,018/050,017/050,022/050,011/050,040/100,045/100,029/100,--,--,--,--,--,--,--,--,--,FF,45,FF,4,4,4,F,C,F,0,5,0,0,20,0
11,030/050,013/050,019/050,003/050,033/050,021/050,033/100,046/100,040/100,--,--,--,--,--,--,--,--,--,FF,46,40,4,4,4,F,C,P,0,5,4,0,20,16,030/050,013/050,019/050,003/050,033/050,021/050,033/100,046/100,040/100,--,--,--,--,--,--,--,--,--,FF,46,40,4,4,4,F,C,P,0,5,4,0,20,16,030/050,013/050,019/050,003/050,033/050,021/050,033/100,046/100,040/100,--,--,--,--,--,--,--,--,--,FF,46,40,4,4,4,F,C,P,0,5,4,0,20,16
12,019/050,026/050,021/050,024/050,020/050,020/050,043/100,046/100,041/100,--,--,--,--,--,--,--,--,--,43,46,41,4,4,4,P,C,P,4,5,4,16,20,16,019/050,026/050,021/050,024/050,020/050,020/050,043/100,046/100,041/100,--,--,--,--,--,--,--,--,--,43,46,41,4,4,4,P,C,P,4,5,4,16,20,16,019/050,026/050,021/050,024/050,020/050,020/050,043/100,046/100,041/100,--,--,--,--,--,--,--,--,--,43,46,41,4,4,4,P,C,P,4,5,4,16,20,16
13,013/050,015/050,025/050,007/050,25$/050,012/050,020/100,040/100,037/100,--,--,--,--,--,--,--,--,--,FF,40,FF,4,4,4,F,P,F,0,4,0,0,16,0,013/050,015/050,025/050,007/050,25$/050,012/050,020/100,040/100,037/100,--,--,--,--,--,--,--,--,--,FF,40,FF,4,4,4,F,P,F,0,4,0,0,16,0,013/050,015/050,025/050,007/050,25$/050,012/050,020/100,040/100,037/100,--,--,--,--,--,--,--,--,--,FF,40,FF,4,4,4,F,P,F,0,4,0,0,16,0
14,027/050,032/050,025/050,022/050,025/050,022/050,049/100,057/100,047/100,--,--,--,--,--,--,--,--,--,49,57,47,4,4,4,C,B+,C,5,7,5,20,28,20,027/050,032/050,025/050,022/050,025/050,022/050,049/100,057/100,047/100,--,--,--,--,--,--,--,--,--,49,57,47,4,4,4,C,B+,C,5,7,5,20,28,20,027/050,032/050,025/050,022/050,025/050,022/050,049/100,057/100,047/100,--,--,--,--,--,--,--,--,--,49,57,47,4,4,4,C,B+,C,5,7,5,20,28,20
15,018/050,031/050,026/050,034/050,031/050,025/050,052/100,062/100,051/100,--,--,--,--,--,--,--,--,--,52,62,51,4,4,4,B,A,B,6,8,6,24,32,24,018/050,031/050,026/050,034/050,031/050,025/050,052/100,062/100,051/100,--,--,--,--,--,--,--,--,--,52,62,51,4,4,4,B,A,B,6,8,6,24,32,24,018/050,031/050,026/050,034/050,031/050,025/050,052/100,062/100,051/100,--,--,--,--,--,--,--,--,--,52,62,51,4,4,4,B,A,B,6,8,6,24,32,24
16,028/050,027/050,028/050,017/050,023/050,021/050,045/100,050/100,049/100,--,--,--,--,--,--,--,--,--,FF,50,49,4,4,4,F,B,C,0,6,5,0,24,20,028/050,027/050,028/050,017/050,023/050,021/050,045/100,050/100,049/100,--,--,--,--,--,--,--,--,--,FF,50,49,4,4,4,F,B,C,0,6,5,0,24,20,028/050,027/050,028/050,017/050,023/050,021/050,045/100,050/100,049/100,--,--,--,--,--,--,--,--,--,FF,50,49,4,4,4,F,B,C,0,6,5,0,24,20
17,025/050,030/050,034/050,029/050,026/050,020/050,054/100,056/100,054/100,--,--,--,--,--,--,--,--,--,54,56,54,4,4,4,B,B+,B,6,7,6,24,28,24,025/050,030/050,034/050,029/050,026/050,020/050,054/100,056/100,054/100,--,--,--,--,--,--,--,--,--,54,56,54,4,4,4,B,B+,B,6,7,6,24,28,24,025/050,030/050,034/050,029/050,026/050,020/050,054/100,056/100,054/100,--,--,--,--,--,--,--,--,--,54,56,54,4,4,4,B,B+,B,6,7,6,24,28,24
18,034/050,029/050,026/050,022/050,031/050,032/050,056/100,060/100,058/100,--,--,--,--,--,--,--,--,--,56,60,58,4,4,4,B+,A,B+,7,8,7,28,32,28,034/050,029/050,026/050,022/050,031/050,032/050,056/100,060/100,058/100,--,--,--,--,--,--,--,--,--,56,60,58,4,4,4,B+,A,B+,7,8,7,28,32,28,034/050,029/050,026/050,022/050,031/050,032/050,056/100,060/100,058/100,--,--,--,--,--,--,--,--,--,56,60,58,4,4,4,B+,A,B+,7,8,7,28,32,28
19,019/050,021/050,023/050,013/050,022/050,021/050,032/100,043/100,044/100,--,--,--,--,--,--,--,--,--,FF,43,44,4,4,4,F,P,P,0,4,4,0,16,16,019/050,021/050,023/050,013/050,022/050,021/050,032/100,043/100,044/100,--,--,--,--,--,--,--,--,--,FF,43,44,4,4,4,F,P,P,0,4,4,0,16,16,019/050,021/050,023/050,013/050,022/050,021/050,032/100,043/100,044/100,--,--,--,--,--,--,--,--,--,FF,43,44,4,4,4,F,P,P,0,4,4,0,16,16
