,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2
40,021/050,028/050,014/050,021/050,003/050,000/050,042/100,031/100,014/100,--,--,--,--,--,--,--,--,--,42,FF,FF,4,4,4,P,F,F,4,0,0,16,0,0,021/050,028/050,014/050,021/050,003/050,000/050,042/100,031/100,014/100,--,--,--,--,--,--,--,--,--,42,FF,FF,4,4,4,P,F,F,4,0,0,16,0,0,021/050,028/050,014/050,021/050,003/050,000/050,042/100,031/100,014/100,--,--,--,--,--,--,--,--,--,42,FF,FF,4,4,4,P,F,F,4,0,0,16,0,0
41,026/050,022/050,034/050,020/050,025/050,020/050,046/100,047/100,054/100,--,--,--,--,--,--,--,--,--,46,47,54,4,4,4,C,C,B,5,5,6,20,20,24,026/050,022/050,034/050,020/050,025/050,020/050,046/100,047/100,054/100,--,--,--,--,--,--,--,--,--,46,47,54,4,4,4,C,C,B,5,5,6,20,20,24,026/050,022/050,034/050,020/050,025/050,020/050,046/100,047/100,054/100,--,--,--,--,--,--,--,--,--,46,47,54,4,4,4,C,C,B,5,5,6,20,20,24
42,019/050,026/050,018/050,009/050,005/050,AB/050,028/100,031/100,018/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,019/050,026/050,018/050,009/050,005/050,AB/050,028/100,031/100,018/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,019/050,026/050,018/050,009/050,005/050,AB/050,028/100,031/100,018/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0
43,020/050,026/050,020/050,026/050,003/050,005/050,046/100,029/100,025/100,--,--,--,--,--,--,--,--,--,46,FF,FF,4,4,4,C,F,F,5,0,0,20,0,0,020/050,026/050,020/050,026/050,003/050,005/050,046/100,029/100,025/100,--,--,--,--,--,--,--,--,--,46,FF,FF,4,4,4,C,F,F,5,0,0,20,0,0,020/050,026/050,020/050,026/050,003/050,005/050,046/100,029/100,025/100,--,--,--,--,--,--,--,--,--,46,FF,FF,4,4,4,C,F,F,5,0,0,20,0,0
44,029/050,034/050,039/050,029/050,025/050,028/050,058/100,059/100,067/100,--,--,--,--,--,--,--,--,--,58,59,67,4,4,4,B+,B+,A,7,7,8,28,28,32,029/050,034/050,039/050,029/050,025/050,028/050,058/100,059/100,067/100,--,--,--,--,--,--,--,--,--,58,59,67,4,4,4,B+,B+,A,7,7,8,28,28,32,029/050,034/050,039/050,029/050,025/050,028/050,058/100,059/100,067/100,--,--,--,--,--,--,--,--,--,58,59,67,4,4,4,B+,B+,A,7,7,8,28,28,32
45,026/050,025/050,020/050,034/050,015/050,20$/050,060/100,040/100,040/100,--,--,--,--,--,--,--,--,--,60,FF,40,4,4,4,A,F,P,8,0,4,32,0,16,026/050,025/050,020/050,034/050,015/050,20$/050,060/100,040/100,040/100,--,--,--,--,--,--,--,--,--,60,FF,40,4,4,4,A,F,P,8,0,4,32,0,16,026/050,025/050,020/050,034/050,015/050,20$/050,060/100,040/100,040/100,--,--,--,--,--,--,--,--,--,60,FF,40,4,4,4,A,F,P,8,0,4,32,0,16
46,016/050,030/050,024/050,027/050,020/050,015/050,043/100,050/100,039/100,--,--,--,--,--,--,--,--,--,43,50,FF,4,4,4,P,B,F,4,6,0,16,24,0,016/050,030/050,024/050,027/050,020/050,015/050,043/100,050/100,039/100,--,--,--,--,--,--,--,--,--,43,50,FF,4,4,4,P,B,F,4,6,0,16,24,0,016/050,030/050,024/050,027/050,020/050,015/050,043/100,050/100,039/100,--,--,--,--,--,--,--,--,--,43,50,FF,4,4,4,P,B,F,4,6,0,16,24,0
47,030/050,023/050,034/050,027/050,021/050,022/050,057/100,044/100,056/100,--,--,--,--,--,--,--,--,--,57,44,56,4,4,4,B+,P,B+,7,4,7,28,16,28,030/050,023/050,034/050,027/050,021/050,022/050,057/100,044/100,056/100,--,--,--,--,--,--,--,--,--,57,44,56,4,4,4,B+,P,B+,7,4,7,28,16,28,030/050,023/050,034/050,027/050,021/050,022/050,057/100,044/100,056/100,--,--,--,--,--,--,--,--,--,57,44,56,4,4,4,B+,P,B+,7,4,7,28,16,28
48,019/050,029/050,024/050,033/050,020/050,011/050,052/100,049/100,035/100,--,--,--,--,--,--,--,--,--,52,49,FF,4,4,4,B,C,F,6,5,0,24,20,0,019/050,029/050,024/050,033/050,020/050,011/050,052/100,049/100,035/100,--,--,--,--,--,--,--,--,--,52,49,FF,4,4,4,B,C,F,6,5,0,24,20,0,019/050,029/050,024/050,033/050,020/050,011/050,052/100,049/100,035/100,--,--,--,--,--,--,--,--,--,52,49,FF,4,4,4,B,C,F,6,5,0,24,20,0
49,035/050,032/050,036/050,027/050,023/050,020/050,062/100,055/100,056/100,--,--,--,--,--,--,--,--,--,62,55,56,4,4,4,A,B+,B+,8,7,7,32,28,28,035/050,032/050,036/050,027/050,023/050,020/050,062/100,055/100,056/100,--,--,--,--,--,--,--,--,--,62,55,56,4,4,4,A,B+,B+,8,7,7,32,28,28,035/050,032/050,036/050,027/050,023/050,020/050,062/100,055/100,056/100,--,--,--,--,--,--,--,--,--,62,55,56,4,4,4,A,B+,B+,8,7,7,32,28,28
50,020/050,023/050,032/050,020/050,020/050,029/050,040/100,043/100,061/100,--,--,--,--,--,--,--,--,--,40,43,61,4,4,4,P,P,A,4,4,8,16,16,32,020/050,023/050,032/050,020/050,020/050,029/050,040/100,043/100,061/100,--,--,--,--,--,--,--,--,--,40,43,61,4,4,4,P,P,A,4,4,8,16,16,32,020/050,023/050,032/050,020/050,020/050,029/050,040/100,043/100,061/100,--,--,--,--,--,--,--,--,--,40,43,61,4,4,4,P,P,A,4,4,8,16,16,32
51,032/050,030/050,029/050,027/050,024/050,022/050,059/100,054/100,051/100,--,--,--,--,--,--,--,--,--,59,54,51,4,4,4,B+,B,B,7,6,6,28,24,24,032/050,030/050,029/050,027/050,024/050,022/050,059/100,054/100,051/100,--,--,--,--,--,--,--,--,--,59,54,51,4,4,4,B+,B,B,7,6,6,28,24,24,032/050,030/050,029/050,027/050,024/050,022/050,059/100,054/100,051/100,--,--,--,--,--,--,--,--,--,59,54,51,4,4,4,B+,B,B,7,6,6,28,24,24
52,036/050,027/050,036/050,026/050,020/050,022/050,062/100,047/100,058/100,--,--,--,--,--,--,--,--,--,62,47,58,4,4,4,A,C,B+,8,5,7,32,20,28,036/050,027/050,036/050,026/050,020/050,022/050,062/100,047/100,058/100,--,--,--,--,--,--,--,--,--,62,47,58,4,4,4,A,C,B+,8,5,7,32,20,28,036/050,027/050,036/050,026/050,020/050,022/050,062/100,047/100,058/100,--,--,--,--,--,--,--,--,--,62,47,58,4,4,4,A,C,B+,8,5,7,32,20,28
53,028/050,031/050,032/050,026/050,027/050,031/050,054/100,058/100,063/100,--,--,--,--,--,--,--,--,--,54,58,63,4,4,4,B,B+,A,6,7,8,24,28,32,028/050,031/050,032/050,026/050,027/050,031/050,054/100,058/100,063/100,--,--,--,--,--,--,--,--,--,54,58,63,4,4,4,B,B+,A,6,7,8,24,28,32,028/050,031/050,032/050,026/050,027/050,031/050,054/100,058/100,063/100,--,--,--,--,--,--,--,--,--,54,58,63,4,4,4,B,B+,A,6,7,8,24,28,32
54,021/050,024/050,024/050,024/050,AB/050,022/050,045/100,024/100,046/100,--,--,--,--,--,--,--,--,--,45,FF,46,4,4,4,C,F,C,5,0,5,20,0,20,021/050,024/050,024/050,024/050,AB/050,022/050,045/100,024/100,046/100,--,--,--,--,--,--,--,--,--,45,FF,46,4,4,4,C,F,C,5,0,5,20,0,20,021/050,024/050,024/050,024/050,AB/050,022/050,045/100,024/100,046/100,--,--,--,--,--,--,--,--,--,45,FF,46,4,4,4,C,F,C,5,0,5,20,0,20
55,027/050,027/050,036/050,032/050,022/050,025/050,059/100,049/100,061/100,--,--,--,--,--,--,--,--,--,59,49,61,4,4,4,B+,C,A,7,5,8,28,20,32,027/050,027/050,036/050,032/050,022/050,025/050,059/100,049/100,061/100,--,--,--,--,--,--,--,--,--,59,49,61,4,4,4,B+,C,A,7,5,8,28,20,32,027/050,027/050,036/050,032/050,022/050,025/050,059/100,049/100,061/100,--,--,--,--,--,--,--,--,--,59,49,61,4,4,4,B+,C,A,7,5,8,28,20,32
56,025/050,023/050,027/050,021/050,022/050,020/050,046/100,045/100,047/100,--,--,--,--,--,--,--,--,--,46,45,47,4,4,4,C,C,C,5,5,5,20,20,20,025/050,023/050,027/050,021/050,022/050,020/050,046/100,045/100,047/100,--,--,--,--,--,--,--,--,--,46,45,47,4,4,4,C,C,C,5,5,5,20,20,20,025/050,023/050,027/050,021/050,022/050,020/050,046/100,045/100,047/100,--,--,--,--,--,--,--,--,--,46,45,47,4,4,4,C,C,C,5,5,5,20,20,20
57,033/050,029/050,026/050,032/050,027/050,034/050,065/100,056/100,060/100,--,--,--,--,--,--,--,--,--,65,56,60,4,4,4,A,B+,A,8,7,8,32,28,32,033/050,029/050,026/050,032/050,027/050,034/050,065/100,056/100,060/100,--,--,--,--,--,--,--,--,--,65,56,60,4,4,4,A,B+,A,8,7,8,32,28,32,033/050,029/050,026/050,032/050,027/050,034/050,065/100,056/100,060/100,--,--,--,--,--,--,--,--,--,65,56,60,4,4,4,A,B+,A,8,7,8,32,28,32
58,036/050,027/050,031/050,024/050,011/050,021/050,060/100,038/100,052/100,--,--,--,--,--,--,--,--,--,60,FF,52,4,4,4,A,F,B,8,0,6,32,0,24,036/050,027/050,031/050,024/050,011/050,021/050,060/100,038/100,052/100,--,--,--,--,--,--,--,--,--,60,FF,52,4,4,4,A,F,B,8,0,6,32,0,24,036/050,027/050,031/050,024/050,011/050,021/050,060/100,038/100,052/100,--,--,--,--,--,--,--,--,--,60,FF,52,4,4,4,A,F,B,8,0,6,32,0,24
59,031/050,027/050,032/050,023/050,026/050,027/050,054/100,053/100,059/100,--,--,--,--,--,--,--,--,--,54,53,59,4,4,4,B,B,B+,6,6,7,24,24,28,031/050,027/050,032/050,023/050,026/050,027/050,054/100,053/100,059/100,--,--,--,--,--,--,--,--,--,54,53,59,4,4,4,B,B,B+,6,6,7,24,24,28,031/050,027/050,032/050,023/050,026/050,027/050,054/100,053/100,059/100,--,--,--,--,--,--,--,--,--,54,53,59,4,4,4,B,B,B+,6,6,7,24,24,28
60,010/050,032/050,022/050,30$/050,023/050,027/050,040/100,055/100,049/100,--,--,--,--,--,--,--,--,--,40,55,49,4,4,4,P,B+,C,4,7,5,16,28,20,010/050,032/050,022/050,30$/050,023/050,027/050,040/100,055/100,049/100,--,--,--,--,--,--,--,--,--,40,55,49,4,4,4,P,B+,C,4,7,5,16,28,20,010/050,032/050,022/050,30$/050,023/050,027/050,040/100,055/100,049/100,--,--,--,--,--,--,--,--,--,40,55,49,4,4,4,P,B+,C,4,7,5,16,28,20
61,028/050,021/050,026/050,029/050,011/050,027/050,057/100,032/100,053/100,--,--,--,--,--,--,--,--,--,57,FF,53,4,4,4,B+,F,B,7,0,6,28,0,24,028/050,021/050,026/050,029/050,011/050,027/050,057/100,032/100,053/100,--,--,--,--,--,--,--,--,--,57,FF,53,4,4,4,B+,F,B,7,0,6,28,0,24,028/050,021/050,026/050,029/050,011/050,027/050,057/100,032/100,053/100,--,--,--,--,--,--,--,--,--,57,FF,53,4,4,4,B+,F,B,7,0,6,28,0,24
62,024/050,024/050,030/050,024/050,020/050,035/050,048/100,044/100,065/100,--,--,--,--,--,--,--,--,--,48,44,65,4,4,4,C,P,A,5,4,8,20,16,32,024/050,024/050,030/050,024/050,020/050,035/050,048/100,044/100,065/100,--,--,--,--,--,--,--,--,--,48,44,65,4,4,4,C,P,A,5,4,8,20,16,32,024/050,024/050,030/050,024/050,020/050,035/050,048/100,044/100,065/100,--,--,--,--,--,--,--,--,--,48,44,65,4,4,4,C,P,A,5,4,8,20,16,32
63,023/050,024/050,029/050,020/050,026/050,032/050,043/100,050/100,061/100,--,--,--,--,--,--,--,--,--,43,50,61,4,4,4,P,B,A,4,6,8,16,24,32,023/050,024/050,029/050,020/050,026/050,032/050,043/100,050/100,061/100,--,--,--,--,--,--,--,--,--,43,50,61,4,4,4,P,B,A,4,6,8,16,24,32,023/050,024/050,029/050,020/050,026/050,032/050,043/100,050/100,061/100,--,--,--,--,--,--,--,--,--,43,50,61,4,4,4,P,B,A,4,6,8,16,24,32
64,037/050,031/050,028/050,024/050,025/050,020/050,061/100,056/100,048/100,--,--,--,--,--,--,--,--,--,61,56,48,4,4,4,A,B+,C,8,7,5,32,28,20,037/050,031/050,028/050,024/050,025/050,020/050,061/100,056/100,048/100,--,--,--,--,--,--,--,--,--,61,56,48,4,4,4,A,B+,C,8,7,5,32,28,20,037/050,031/050,028/050,024/050,025/050,020/050,061/100,056/100,048/100,--,--,--,--,--,--,--,--,--,61,56,48,4,4,4,A,B+,C,8,7,5,32,28,20
65,030/050,024/050,028/050,028/050,032/050,028/050,058/100,056/100,056/100,--,--,--,--,--,--,--,--,--,58,56,56,4,4,4,B+,B+,B+,7,7,7,28,28,28,030/050,024/050,028/050,028/050,032/050,028/050,058/100,056/100,056/100,--,--,--,--,--,--,--,--,--,58,56,56,4,4,4,B+,B+,B+,7,7,7,28,28,28,030/050,024/050,028/050,028/050,032/050,028/050,058/100,056/100,056/100,--,--,--,--,--,--,--,--,--,58,56,56,4,4,4,B+,B+,B+,7,7,7,28,28,28
66,011/050,018/050,021/050,AB/050,006/050,010/050,011/100,024/100,031/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,011/050,018/050,021/050,AB/050,006/050,010/050,011/100,024/100,031/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,011/050,018/050,021/050,AB/050,006/050,010/050,011/100,024/100,031/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0
67,032/050,031/050,030/050,025/050,024/050,030/050,057/100,055/100,060/100,--,--,--,--,--,--,--,--,--,57,55,60,4,4,4,B+,B+,A,7,7,8,28,28,32,032/050,031/050,030/050,025/050,024/050,030/050,057/100,055/100,060/100,--,--,--,--,--,--,--,--,--,57,55,60,4,4,4,B+,B+,A,7,7,8,28,28,32,032/050,031/050,030/050,025/050,024/050,030/050,057/100,055/100,060/100,--,--,--,--,--,--,--,--,--,57,55,60,4,4,4,B+,B+,A,7,7,8,28,28,32
68,019/050,030/050,015/050,025/050,023/050,25$/050,044/100,053/100,040/100,--,--,--,--,--,--,--,--,--,44,53,40,4,4,4,P,B,P,4,6,4,16,24,16,019/050,030/050,015/050,025/050,023/050,25$/050,044/100,053/100,040/100,--,--,--,--,--,--,--,--,--,44,53,40,4,4,4,P,B,P,4,6,4,16,24,16,019/050,030/050,015/050,025/050,023/050,25$/050,044/100,053/100,040/100,--,--,--,--,--,--,--,--,--,44,53,40,4,4,4,P,B,P,4,6,4,16,24,16
69,030/050,020/050,033/050,020/050,020/050,022/050,050/100,040/100,055/100,--,--,--,--,--,--,--,--,--,50,40,55,4,4,4,B,P,B+,6,4,7,24,16,28,030/050,020/050,033/050,020/050,020/050,022/050,050/100,040/100,055/100,--,--,--,--,--,--,--,--,--,50,40,55,4,4,4,B,P,B+,6,4,7,24,16,28,030/050,020/050,033/050,020/050,020/050,022/050,050/100,040/100,055/100,--,--,--,--,--,--,--,--,--,50,40,55,4,4,4,B,P,B+,6,4,7,24,16,28
70,035/050,036/050,032/050,026/050,022/050,033/050,061/100,058/100,065/100,--,--,--,--,--,--,--,--,--,61,58,65,4,4,4,A,B+,A,8,7,8,32,28,32,035/050,036/050,032/050,026/050,022/050,033/050,061/100,058/100,065/100,--,--,--,--,--,--,--,--,--,61,58,65,4,4,4,A,B+,A,8,7,8,32,28,32,035/050,036/050,032/050,026/050,022/050,033/050,061/100,058/100,065/100,--,--,--,--,--,--,--,--,--,61,58,65,4,4,4,A,B+,A,8,7,8,32,28,32
71,034/050,022/050,035/050,020/050,005/050,AB/050,054/100,027/100,035/100,--,--,--,--,--,--,--,--,--,54,FF,FF,4,4,4,B,F,F,6,0,0,24,0,0,034/050,022/050,035/050,020/050,005/050,AB/050,054/100,027/100,035/100,--,--,--,--,--,--,--,--,--,54,FF,FF,4,4,4,B,F,F,6,0,0,24,0,0,034/050,022/050,035/050,020/050,005/050,AB/050,054/100,027/100,035/100,--,--,--,--,--,--,--,--,--,54,FF,FF,4,4,4,B,F,F,6,0,0,24,0,0
72,032/050,040/050,029/050,022/050,030/050,024/050,054/100,070/100,053/100,--,--,--,--,--,--,--,--,--,54,70,53,4,4,4,B,A+,B,6,9,6,24,36,24,032/050,040/050,029/050,022/050,030/050,024/050,054/100,070/100,053/100,--,--,--,--,--,--,--,--,--,54,70,53,4,4,4,B,A+,B,6,9,6,24,36,24,032/050,040/050,029/050,022/050,030/050,024/050,054/100,070/100,053/100,--,--,--,--,--,--,--,--,--,54,70,53,4,4,4,B,A+,B,6,9,6,24,36,24
73,012/050,029/050,020/050,006/050,AB/050,AB/050,018/100,029/100,020/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,012/050,029/050,020/050,006/050,AB/050,AB/050,018/100,029/100,020/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,012/050,029/050,020/050,006/050,AB/050,AB/050,018/100,029/100,020/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0
74,021/050,031/050,018/050,029/050,021/050,023/050,050/100,052/100,041/100,--,--,--,--,--,--,--,--,--,50,52,41,4,4,4,B,B,P,6,6,4,24,24,16,021/050,031/050,018/050,029/050,021/050,023/050,050/100,052/100,041/100,--,--,--,--,--,--,--,--,--,50,52,41,4,4,4,B,B,P,6,6,4,24,24,16,021/050,031/050,018/050,029/050,021/050,023/050,050/100,052/100,041/100,--,--,--,--,--,--,--,--,--,50,52,41,4,4,4,B,B,P,6,6,4,24,24,16
75,025/050,021/050,026/050,021/050,024/050,022/050,046/100,045/100,048/100,--,--,--,--,--,--,--,--,--,46,45,48,4,4,4,C,C,C,5,5,5,20,20,20,025/050,021/050,026/050,021/050,024/050,022/050,046/100,045/100,048/100,--,--,--,--,--,--,--,--,--,46,45,48,4,4,4,C,C,C,5,5,5,20,20,20,025/050,021/050,026/050,021/050,024/050,022/050,046/100,045/100,048/100,--,--,--,--,--,--,--,--,--,46,45,48,4,4,4,C,C,C,5,5,5,20,20,20
76,023/050,028/050,027/050,024/050,022/050,020/050,047/100,050/100,047/100,--,--,--,--,--,--,--,--,--,47,50,47,4,4,4,C,B,C,5,6,5,20,24,20,023/050,028/050,027/050,024/050,022/050,020/050,047/100,050/100,047/100,--,--,--,--,--,--,--,--,--,47,50,47,4,4,4,C,B,C,5,6,5,20,24,20,023/050,028/050,027/050,024/050,022/050,020/050,047/100,050/100,047/100,--,--,--,--,--,--,--,--,--,47,50,47,4,4,4,C,B,C,5,6,5,20,24,20
77,028/050,020/050,030/050,021/050,020/050,024/050,049/100,040/100,054/100,--,--,--,--,--,--,--,--,--,49,40,54,4,4,4,C,P,B,5,4,6,20,16,24,028/050,020/050,030/050,021/050,020/050,024/050,049/100,040/100,054/100,--,--,--,--,--,--,--,--,--,49,40,54,4,4,4,C,P,B,5,4,6,20,16,24,028/050,020/050,030/050,021/050,020/050,024/050,049/100,040/100,054/100,--,--,--,--,--,--,--,--,--,49,40,54,4,4,4,C,P,B,5,4,6,20,16,24
78,018/050,017/050,021/050,014/050,23$/050,022/050,032/100,040/100,043/100,--,--,--,--,--,--,--,--,--,FF,40,43,4,4,4,F,P,P,0,4,4,0,16,16,018/050,017/050,021/050,014/050,23$/050,022/050,032/100,040/100,043/100,--,--,--,--,--,--,--,--,--,FF,40,43,4,4,4,F,P,P,0,4,4,0,16,16,018/050,017/050,021/050,014/050,23$/050,022/050,032/100,040/100,043/100,--,--,--,--,--,--,--,--,--,FF,40,43,4,4,4,F,P,P,0,4,4,0,16,16
79,031/050,035/050,031/050,029/050,028/050,022/050,060/100,063/100,053/100,--,--,--,--,--,--,--,--,--,60,63,53,4,4,4,A,A,B,8,8,6,32,32,24,031/050,035/050,031/050,029/050,028/050,022/050,060/100,063/100,053/100,--,--,--,--,--,--,--,--,--,60,63,53,4,4,4,A,A,B,8,8,6,32,32,24,031/050,035/050,031/050,029/050,028/050,022/050,060/100,063/100,053/100,--,--,--,--,--,--,--,--,--,60,63,53,4,4,4,A,A,B,8,8,6,32,32,24
80,045/050,036/050,034/050,036/050,020/050,026/050,081/100,056/100,060/100,--,--,--,--,--,--,--,--,--,81,56,60,4,4,4,O,B+,A,10,7,8,40,28,32,045/050,036/050,034/050,036/050,020/050,026/050,081/100,056/100,060/100,--,--,--,--,--,--,--,--,--,81,56,60,4,4,4,O,B+,A,10,7,8,40,28,32,045/050,036/050,034/050,036/050,020/050,026/050,081/100,056/100,060/100,--,--,--,--,--,--,--,--,--,81,56,60,4,4,4,O,B+,A,10,7,8,40,28,32
81,026/050,026/050,026/050,024/050,029/050,024/050,050/100,055/100,050/100,--,--,--,--,--,--,--,--,--,50,55,50,4,4,4,B,B+,B,6,7,6,24,28,24,026/050,026/050,026/050,024/050,029/050,024/050,050/100,055/100,050/100,--,--,--,--,--,--,--,--,--,50,55,50,4,4,4,B,B+,B,6,7,6,24,28,24,026/050,026/050,026/050,024/050,029/050,024/050,050/100,055/100,050/100,--,--,--,--,--,--,--,--,--,50,55,50,4,4,4,B,B+,B,6,7,6,24,28,24
82,026/050,026/050,028/050,028/050,032/050,022/050,054/100,058/100,050/100,--,--,--,--,--,--,--,--,--,54,58,50,4,4,4,B,B+,B,6,7,6,24,28,24,026/050,026/050,028/050,028/050,032/050,022/050,054/100,058/100,050/100,--,--,--,--,--,--,--,--,--,54,58,50,4,4,4,B,B+,B,6,7,6,24,28,24,026/050,026/050,028/050,028/050,032/050,022/050,054/100,058/100,050/100,--,--,--,--,--,--,--,--,--,54,58,50,4,4,4,B,B+,B,6,7,6,24,28,24
83,017/050,027/050,032/050,026/050,016/050,021/050,043/100,043/100,053/100,--,--,--,--,--,--,--,--,--,43,FF,53,4,4,4,P,F,B,4,0,6,16,0,24,017/050,027/050,032/050,026/050,016/050,021/050,043/100,043/100,053/100,--,--,--,--,--,--,--,--,--,43,FF,53,4,4,4,P,F,B,4,0,6,16,0,24,017/050,027/050,032/050,026/050,016/050,021/050,043/100,043/100,053/100,--,--,--,--,--,--,--,--,--,43,FF,53,4,4,4,P,F,B,4,0,6,16,0,24
84,026/050,025/050,020/050,023/050,020/050,021/050,049/100,045/100,041/100,--,--,--,--,--,--,--,--,--,49,45,41,4,4,4,C,C,P,5,5,4,20,20,16,026/050,025/050,020/050,023/050,020/050,021/050,049/100,045/100,041/100,--,--,--,--,--,--,--,--,--,49,45,41,4,4,4,C,C,P,5,5,4,20,20,16,026/050,025/050,020/050,023/050,020/050,021/050,049/100,045/100,041/100,--,--,--,--,--,--,--,--,--,49,45,41,4,4,4,C,C,P,5,5,4,20,20,16
85,032/050,034/050,021/050,023/050,AB/050,AB/050,055/100,034/100,021/100,--,--,--,--,--,--,--,--,--,55,FF,FF,4,4,4,B+,F,F,7,0,0,28,0,0,032/050,034/050,021/050,023/050,AB/050,AB/050,055/100,034/100,021/100,--,--,--,--,--,--,--,--,--,55,FF,FF,4,4,4,B+,F,F,7,0,0,28,0,0,032/050,034/050,021/050,023/050,AB/050,AB/050,055/100,034/100,021/100,--,--,--,--,--,--,--,--,--,55,FF,FF,4,4,4,B+,F,F,7,0,0,28,0,0
86,023/050,030/050,021/050,022/050,025/050,020/050,045/100,055/100,041/100,--,--,--,--,--,--,--,--,--,45,55,41,4,4,4,C,B+,P,5,7,4,20,28,16,023/050,030/050,021/050,022/050,025/050,020/050,045/100,055/100,041/100,--,--,--,--,--,--,--,--,--,45,55,41,4,4,4,C,B+,P,5,7,4,20,28,16,023/050,030/050,021/050,022/050,025/050,020/050,045/100,055/100,041/100,--,--,--,--,--,--,--,--,--,45,55,41,4,4,4,C,B+,P,5,7,4,20,28,16
87,028/050,028/050,026/050,021/050,024/050,020/050,049/100,052/100,046/100,--,--,--,--,--,--,--,--,--,49,52,46,4,4,4,C,B,C,5,6,5,20,24,20,028/050,028/050,026/050,021/050,024/050,020/050,049/100,052/100,046/100,--,--,--,--,--,--,--,--,--,49,52,46,4,4,4,C,B,C,5,6,5,20,24,20,028/050,028/050,026/050,021/050,024/050,020/050,049/100,052/100,046/100,--,--,--,--,--,--,--,--,--,49,52,46,4,4,4,C,B,C,5,6,5,20,24,20
88,029/050,025/050,021/050,029/050,028/050,020/050,058/100,053/100,041/100,--,--,--,--,--,--,--,--,--,58,53,41,4,4,4,B+,B,P,7,6,4,28,24,16,029/050,025/050,021/050,029/050,028/050,020/050,058/100,053/100,041/100,--,--,--,--,--,--,--,--,--,58,53,41,4,4,4,B+,B,P,7,6,4,28,24,16,029/050,025/050,021/050,029/050,028/050,020/050,058/100,053/100,041/100,--,--,--,--,--,--,--,--,--,58,53,41,4,4,4,B+,B,P,7,6,4,28,24,16
89,027/050,027/050,030/050,022/050,022/050,026/050,049/100,049/100,056/100,--,--,--,--,--,--,--,--,--,49,49,56,4,4,4,C,C,B+,5,5,7,20,20,28,027/050,027/050,030/050,022/050,022/050,026/050,049/100,049/100,056/100,--,--,--,--,--,--,--,--,--,49,49,56,4,4,4,C,C,B+,5,5,7,20,20,28,027/050,027/050,030/050,022/050,022/050,026/050,049/100,049/100,056/100,--,--,--,--,--,--,--,--,--,49,49,56,4,4,4,C,C,B+,5,5,7,20,20,28
90,021/050,029/050,034/050,022/050,021/050,032/050,043/100,050/100,066/100,--,--,--,--,--,--,--,--,--,43,50,66,4,4,4,P,B,A,4,6,8,16,24,32,021/050,029/050,034/050,022/050,021/050,032/050,043/100,050/100,066/100,--,--,--,--,--,--,--,--,--,43,50,66,4,4,4,P,B,A,4,6,8,16,24,32,021/050,029/050,034/050,022/050,021/050,032/050,043/100,050/100,066/100,--,--,--,--,--,--,--,--,--,43,50,66,4,4,4,P,B,A,4,6,8,16,24,32
91,032/050,030/050,034/050,020/050,029/050,020/050,052/100,059/100,054/100,--,--,--,--,--,--,--,--,--,52,59,54,4,4,4,B,B+,B,6,7,6,24,28,24,032/050,030/050,034/050,020/050,029/050,020/050,052/100,059/100,054/100,--,--,--,--,--,--,--,--,--,52,59,54,4,4,4,B,B+,B,6,7,6,24,28,24,032/050,030/050,034/050,020/050,029/050,020/050,052/100,059/100,054/100,--,--,--,--,--,--,--,--,--,52,59,54,4,4,4,B,B+,B,6,7,6,24,28,24
