,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214453,040/050,031/050,071/100,--,--,--,71,04,A+,09,36
1,214453,025/050,024/050,049/100,--,--,--,49,04,C,05,20
2,214453,042/050,033/050,075/100,--,--,--,75,04,A+,09,36
3,214453,022/050,009/050,031/100,--,--,--,FF,04,F,00,00
4,214453,037/050,021/050,058/100,--,--,--,58,04,B+,07,28
5,214453,037/050,030/050,067/100,--,--,--,67,04,A,08,32
6,214453,019/050,012/050,031/100,--,--,--,FF,04,F,00,00
7,214453,033/050,025/050,058/100,--,--,--,58,04,B+,07,28
8,214453,034/050,024/050,058/100,--,--,--,58,04,B+,07,28
9,214453,039/050,029/050,068/100,--,--,--,68,04,A,08,32
10,214453,029/050,020/050,049/100,--,--,--,49,04,C,05,20
11,214453,028/050,028/050,056/100,--,--,--,56,04,B+,07,28
12,214453,031/050,023/050,054/100,--,--,--,54,04,B,06,24
13,214453,027/050,010/050,037/100,--,--,--,FF,04,F,00,00
14,214453,031/050,025/050,056/100,--,--,--,56,04,B+,07,28
15,214453,032/050,030/050,062/100,--,--,--,62,04,A,08,32
16,214453,028/050,021/050,049/100,--,--,--,49,04,C,05,20
17,214453,027/050,029/050,056/100,--,--,--,56,04,B+,07,28
18,214453,026/050,024/050,050/100,--,--,--,50,04,B,06,24
19,214453,016/050,24$/050,040/100,--,--,--,40,04,P,04,16
20,214453,026/050,012/050,038/100,--,--,--,FF,04,F,00,00
21,214453,029/050,026/050,055/100,--,--,--,55,04,B+,07,28
22,214453,033/050,033/050,066/100,--,--,--,66,04,A,08,32
23,214453,032/050,021/050,053/100,--,--,--,53,04,B,06,24
24,214453,035/050,021/050,056/100,--,--,--,56,04,B+,07,28
25,214453,018/050,026/050,044/100,--,--,--,44,04,P,04,16
26,214453,028/050,025/050,053/100,--,--,--,53,04,B,06,24
27,214453,042/050,026/050,068/100,--,--,--,68,04,A,08,32
28,214453,023/050,028/050,051/100,--,--,--,51,04,B,06,24
29,214453,017/050,024/050,041/100,--,--,--,41,04,P,04,16
30,214453,029/050,024/050,053/100,--,--,--,53,04,B,06,24
31,214453,041/050,012/050,053/100,--,--,--,FF,04,F,00,00
32,214453,033/050,AB/050,033/100,--,--,--,FF,04,F,00,00
33,214453,027/050,024/050,051/100,--,--,--,51,04,B,06,24
34,214453,047/050,037/050,084/100,--,--,--,84,04,O,10,40
35,214453,028/050,027/050,055/100,--,--,--,55,04,B+,07,28
36,214453,042/050,020/050,062/100,--,--,--,62,04,A,08,32
37,214453,028/050,025/050,053/100,--,--,--,53,04,B,06,24
38,214453,030/050,013/050,043/100,--,--,--,FF,04,F,00,00
39,214453,028/050,006/050,034/100,--,--,--,FF,04,F,00,00
40,214453,019/050,005/050,024/100,--,--,--,FF,04,F,00,00
41,214453,032/050,021/050,053/100,--,--,--,53,04,B,06,24
42,214453,018/050,001/050,019/100,--,--,--,FF,04,F,00,00
43,214453,024/050,012/050,036/100,--,--,--,FF,04,F,00,00
44,214453,027/050,015/050,042/100,--,--,--,FF,04,F,00,00
45,214453,025/050,027/050,052/100,--,--,--,52,04,B,06,24
46,214453,032/050,030/050,062/100,--,--,--,62,04,A,08,32
47,214453,036/050,030/050,066/100,--,--,--,66,04,A,08,32
48,214453,027/050,016/050,043/100,--,--,--,FF,04,F,00,00
49,214453,033/050,014/050,047/100,--,--,--,FF,04,F,00,00
50,214453,020/050,009/050,029/100,--,--,--,FF,04,F,00,00
51,214453,040/050,020/050,060/100,--,--,--,60,04,A,08,32
52,214453,035/050,027/050,062/100,--,--,--,62,04,A,08,32
53,214453,030/050,034/050,064/100,--,--,--,64,04,A,08,32
54,214453,022/050,020/050,042/100,--,--,--,42,04,P,04,16
55,214453,034/050,022/050,056/100,--,--,--,56,04,B+,07,28
56,214453,032/050,009/050,041/100,--,--,--,FF,04,F,00,00
57,214453,032/050,027/050,059/100,--,--,--,59,04,B+,07,28
58,214453,031/050,015/050,046/100,--,--,--,FF,04,F,00,00
59,214453,032/050,020/050,052/100,--,--,--,52,04,B,06,24
60,214453,028/050,015/050,043/100,--,--,--,FF,04,F,00,00
61,214453,029/050,021/050,050/100,--,--,--,50,04,B,06,24
62,214453,034/050,028/050,062/100,--,--,--,62,04,A,08,32
63,214453,033/050,031/050,064/100,--,--,--,64,04,A,08,32
64,214453,039/050,024/050,063/100,--,--,--,63,04,A,08,32
65,214453,035/050,022/050,057/100,--,--,--,57,04,B+,07,28
66,214453,028/050,007/050,035/100,--,--,--,FF,04,F,00,00
67,214453,036/050,030/050,066/100,--,--,--,66,04,A,08,32
68,214453,024/050,024/050,048/100,--,--,--,48,04,C,05,20
69,214453,032/050,AB/050,032/100,--,--,--,FF,04,F,00,00
70,214453,032/050,028/050,060/100,--,--,--,60,04,A,08,32
71,214453,025/050,013/050,038/100,--,--,--,FF,04,F,00,00
72,214453,038/050,027/050,065/100,--,--,--,65,04,A,08,32
73,214453,021/050,AB/050,021/100,--,--,--,FF,04,F,00,00
74,214453,022/050,009/050,031/100,--,--,--,FF,04,F,00,00
75,214453,030/050,031/050,061/100,--,--,--,61,04,A,08,32
76,214453,031/050,031/050,062/100,--,--,--,62,04,A,08,32
77,214453,040/050,023/050,063/100,--,--,--,63,04,A,08,32
78,214453,027/050,025/050,052/100,--,--,--,52,04,B,06,24
79,214453,032/050,027/050,059/100,--,--,--,59,04,B+,07,28
80,214453,038/050,024/050,062/100,--,--,--,62,04,A,08,32
81,214453,033/050,023/050,056/100,--,--,--,56,04,B+,07,28
82,214453,028/050,026/050,054/100,--,--,--,54,04,B,06,24
83,214453,024/050,020/050,044/100,--,--,--,44,04,P,04,16
84,214453,044/050,028/050,072/100,--,--,--,72,04,A+,09,36
85,214453,021/050,AB/050,021/100,--,--,--,FF,04,F,00,00
86,214453,036/050,021/050,057/100,--,--,--,57,04,B+,07,28
87,214453,036/050,021/050,057/100,--,--,--,57,04,B+,07,28
88,214453,020/050,016/050,036/100,--,--,--,FF,04,F,00,00
89,214453,031/050,025/050,056/100,--,--,--,56,04,B+,07,28
90,214453,039/050,029/050,068/100,--,--,--,68,04,A,08,32
91,214453,039/050,030/050,069/100,--,--,--,69,04,A,08,32
92,214453,031/050,030/050,061/100,--,--,--,61,04,A,08,32
93,214453,039/050,030/050,069/100,--,--,--,69,04,A,08,32
94,214453,026/050,AB/050,026/100,--,--,--,FF,04,F,00,00
95,214453,030/050,020/050,050/100,--,--,--,50,04,B,06,24
96,214453,033/050,020/050,053/100,--,--,--,53,04,B,06,24
97,214453,032/050,028/050,060/100,--,--,--,60,04,A,08,32
98,214453,041/050,020/050,061/100,--,--,--,61,04,A,08,32
99,214453,035/050,026/050,061/100,--,--,--,61,04,A,08,32
100,214453,029/050,027/050,056/100,--,--,--,56,04,B+,07,28
101,214453,034/050,036/050,070/100,--,--,--,70,04,A+,09,36
102,214453,031/050,022/050,053/100,--,--,--,53,04,B,06,24
103,214453,029/050,022/050,051/100,--,--,--,51,04,B,06,24
104,214453,029/050,026/050,055/100,--,--,--,55,04,B+,07,28
105,214453,036/050,030/050,066/100,--,--,--,66,04,A,08,32
106,214453,032/050,021/050,053/100,--,--,--,53,04,B,06,24
107,214453,031/050,020/050,051/100,--,--,--,51,04,B,06,24
108,214453,020/050,021/050,041/100,--,--,--,41,04,P,04,16
109,214453,032/050,025/050,057/100,--,--,--,57,04,B+,07,28
110,214453,040/050,032/050,072/100,--,--,--,72,04,A+,09,36
111,214453,032/050,035/050,067/100,--,--,--,67,04,A,08,32
112,214453,032/050,031/050,063/100,--,--,--,63,04,A,08,32
113,214453,032/050,020/050,052/100,--,--,--,52,04,B,06,24
114,214453,022/050,013/050,035/100,--,--,--,FF,04,F,00,00
115,214453,027/050,016/050,043/100,--,--,--,FF,04,F,00,00
116,214453,017/050,007/050,024/100,--,--,--,FF,04,F,00,00
117,214453,049/050,033/050,082/100,--,--,--,82,04,O,10,40
118,214453,019/050,005/050,024/100,--,--,--,FF,04,F,00,00
119,214453,030/050,013/050,043/100,--,--,--,FF,04,F,00,00
120,214453,030/050,20$/050,050/100,--,--,--,50,04,B,06,24
121,214453,040/050,020/050,060/100,--,--,--,60,04,A,08,32
122,214453,044/050,20$/050,064/100,--,--,--,64,04,A,08,32
123,214453,036/050,024/050,060/100,--,--,--,60,04,A,08,32
124,214453,040/050,014/050,054/100,--,--,--,FF,04,F,00,00
125,214453,035/050,025/050,060/100,--,--,--,60,04,A,08,32
126,214453,020/050,000/050,020/100,--,--,--,FF,04,F,00,00
127,214453,035/050,020/050,055/100,--,--,--,55,04,B+,07,28
128,214453,035/050,028/050,063/100,--,--,--,63,04,A,08,32
129,214453,026/050,024/050,050/100,--,--,--,50,04,B,06,24
130,214453,019/050,025/050,044/100,--,--,--,44,04,P,04,16
131,214453,036/050,032/050,068/100,--,--,--,68,04,A,08,32
132,214453,037/050,023/050,060/100,--,--,--,60,04,A,08,32
133,214453,022/050,023/050,045/100,--,--,--,45,04,C,05,20
134,214453,025/050,011/050,036/100,--,--,--,FF,04,F,00,00
135,214453,030/050,021/050,051/100,--,--,--,51,04,B,06,24
136,214453,032/050,020/050,052/100,--,--,--,52,04,B,06,24
137,214453,038/050,025/050,063/100,--,--,--,63,04,A,08,32
138,214453,030/050,022/050,052/100,--,--,--,52,04,B,06,24
139,214453,031/050,025/050,056/100,--,--,--,56,04,B+,07,28
140,214453,029/050,20$/050,049/100,--,--,--,49,04,C,05,20
141,214453,036/050,031/050,067/100,--,--,--,67,04,A,08,32
142,214453,038/050,021/050,059/100,--,--,--,59,04,B+,07,28
143,214453,037/050,020/050,057/100,--,--,--,57,04,B+,07,28
144,214453,032/050,025/050,057/100,--,--,--,57,04,B+,07,28
145,214453,024/050,005/050,029/100,--,--,--,FF,04,F,00,00
146,214453,043/050,033/050,076/100,--,--,--,76,04,A+,09,36
147,214453,026/050,008/050,034/100,--,--,--,FF,04,F,00,00
148,214453,034/050,034/050,068/100,--,--,--,68,04,A,08,32
149,214453,022/050,020/050,042/100,--,--,--,42,04,P,04,16
150,214453,021/050,037/050,058/100,--,--,--,58,04,B+,07,28
151,214453,032/050,026/050,058/100,--,--,--,58,04,B+,07,28
152,214453,027/050,020/050,047/100,--,--,--,47,04,C,05,20
153,214453,035/050,021/050,056/100,--,--,--,56,04,B+,07,28
154,214453,034/050,036/050,070/100,--,--,--,70,04,A+,09,36
155,214453,021/050,010/050,031/100,--,--,--,FF,04,F,00,00
156,214453,032/050,007/050,039/100,--,--,--,FF,04,F,00,00
157,214453,029/050,021/050,050/100,--,--,--,50,04,B,06,24
158,214453,035/050,027/050,062/100,--,--,--,62,04,A,08,32
159,214453,020/050,036/050,056/100,--,--,--,56,04,B+,07,28
160,214453,034/050,020/050,054/100,--,--,--,54,04,B,06,24
161,214453,026/050,011/050,037/100,--,--,--,FF,04,F,00,00
162,214453,032/050,027/050,059/100,--,--,--,59,04,B+,07,28
163,214453,042/050,020/050,062/100,--,--,--,62,04,A,08,32
164,214453,028/050,022/050,050/100,--,--,--,50,04,B,06,24
165,214453,026/050,024/050,050/100,--,--,--,50,04,B,06,24
166,214453,022/050,025/050,047/100,--,--,--,47,04,C,05,20
167,214453,044/050,036/050,080/100,--,--,--,80,04,O,10,40
168,214453,029/050,012/050,041/100,--,--,--,FF,04,F,00,00
169,214453,035/050,032/050,067/100,--,--,--,67,04,A,08,32
170,214453,033/050,011/050,044/100,--,--,--,FF,04,F,00,00
171,214453,033/050,005/050,038/100,--,--,--,FF,04,F,00,00
172,214453,036/050,028/050,064/100,--,--,--,64,04,A,08,32
173,214453,037/050,034/050,071/100,--,--,--,71,04,A+,09,36
174,214453,039/050,032/050,071/100,--,--,--,71,04,A+,09,36
175,214453,032/050,021/050,053/100,--,--,--,53,04,B,06,24
176,214453,017/050,013/050,030/100,--,--,--,FF,04,F,00,00
177,214453,038/050,023/050,061/100,--,--,--,61,04,A,08,32
178,214453,038/050,16#/050,054/100,--,--,--,54,04,B,06,24
179,214453,027/050,026/050,053/100,--,--,--,53,04,B,06,24
180,214453,037/050,030/050,067/100,--,--,--,67,04,A,08,32
181,214453,022/050,020/050,042/100,--,--,--,42,04,P,04,16
182,214453,041/050,027/050,068/100,--,--,--,68,04,A,08,32
183,214453,028/050,021/050,049/100,--,--,--,49,04,C,05,20
184,214453,031/050,002/050,033/100,--,--,--,FF,04,F,00,00
185,214453,024/050,025/050,049/100,--,--,--,49,04,C,05,20
186,214453,022/050,020/050,042/100,--,--,--,42,04,P,04,16
187,214453,034/050,021/050,055/100,--,--,--,55,04,B+,07,28
188,214453,028/050,027/050,055/100,--,--,--,55,04,B+,07,28
189,214453,031/050,022/050,053/100,--,--,--,53,04,B,06,24
190,214453,017/050,23$/050,040/100,--,--,--,40,04,P,04,16
191,214453,031/050,023/050,054/100,--,--,--,54,04,B,06,24
192,214453,027/050,023/050,050/100,--,--,--,50,04,B,06,24
193,214453,047/050,026/050,073/100,--,--,--,73,04,A+,09,36
