,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214445,040/050,032/050,072/100,--,--,--,72,04,A+,09,36
1,214445,035/050,024/050,059/100,--,--,--,59,04,B+,07,28
2,214445,034/050,025/050,059/100,--,--,--,59,04,B+,07,28
3,214445,036/050,040/050,076/100,--,--,--,76,04,A+,09,36
4,214445,033/050,025/050,058/100,--,--,--,58,04,B+,07,28
5,214445,026/050,023/050,049/100,--,--,--,49,04,C,05,20
6,214445,021/050,013/050,034/100,--,--,--,FF,04,F,00,00
7,214445,030/050,023/050,053/100,--,--,--,53,04,B,06,24
8,214445,034/050,031/050,065/100,--,--,--,65,04,A,08,32
9,214445,036/050,034/050,070/100,--,--,--,70,04,A+,09,36
10,214445,025/050,023/050,048/100,--,--,--,48,04,C,05,20
11,214445,020/050,027/050,047/100,--,--,--,47,04,C,05,20
12,214445,027/050,20$/050,047/100,--,--,--,47,04,C,05,20
13,214445,024/050,014/050,038/100,--,--,--,FF,04,F,00,00
14,214445,028/050,031/050,059/100,--,--,--,59,04,B+,07,28
15,214445,036/050,037/050,073/100,--,--,--,73,04,A+,09,36
16,214445,027/050,030/050,057/100,--,--,--,57,04,B+,07,28
17,214445,031/050,028/050,059/100,--,--,--,59,04,B+,07,28
18,214445,033/050,027/050,060/100,--,--,--,60,04,A,08,32
19,214445,030/050,024/050,054/100,--,--,--,54,04,B,06,24
20,214445,019/050,014/050,033/100,--,--,--,FF,04,F,00,00
21,214445,036/050,032/050,068/100,--,--,--,68,04,A,08,32
22,214445,034/050,031/050,065/100,--,--,--,65,04,A,08,32
23,214445,022/050,020/050,042/100,--,--,--,42,04,P,04,16
24,214445,021/050,021/050,042/100,--,--,--,42,04,P,04,16
25,214445,022/050,016/050,038/100,--,--,--,FF,04,F,00,00
26,214445,026/050,026/050,052/100,--,--,--,52,04,B,06,24
27,214445,026/050,041/050,067/100,--,--,--,67,04,A,08,32
28,214445,023/050,034/050,057/100,--,--,--,57,04,B+,07,28
29,214445,017/050,024/050,041/100,--,--,--,41,04,P,04,16
30,214445,025/050,021/050,046/100,--,--,--,46,04,C,05,20
31,214445,029/050,020/050,049/100,--,--,--,49,04,C,05,20
