,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214450,034/050,028/050,062/100,--,--,--,62,03,A,08,24
1,214450,014/050,26$/050,040/100,--,--,--,40,03,P,04,12
2,214450,031/050,032/050,063/100,--,--,--,63,03,A,08,24
3,214450,032/050,022/050,054/100,--,--,--,54,03,B,06,18
4,214450,022/050,022/050,044/100,--,--,--,44,03,P,04,12
5,214450,033/050,041/050,074/100,--,--,--,74,03,A+,09,27
6,214450,029/050,007/050,036/100,--,--,--,FF,03,F,00,00
7,214450,026/050,022/050,048/100,--,--,--,48,03,C,05,15
8,214450,020/050,031/050,051/100,--,--,--,51,03,B,06,18
9,214450,027/050,030/050,057/100,--,--,--,57,03,B+,07,21
10,214450,020/050,021/050,041/100,--,--,--,41,03,P,04,12
11,214450,023/050,033/050,056/100,--,--,--,56,03,B+,07,21
12,214450,011/050,022/050,033/100,--,--,--,FF,03,F,00,00
13,214450,024/050,021/050,045/100,--,--,--,45,03,C,05,15
14,214450,025/050,025/050,050/100,--,--,--,50,03,B,06,18
15,214450,028/050,031/050,059/100,--,--,--,59,03,B+,07,21
16,214450,023/050,027/050,050/100,--,--,--,50,03,B,06,18
17,214450,028/050,026/050,054/100,--,--,--,54,03,B,06,18
18,214450,025/050,032/050,057/100,--,--,--,57,03,B+,07,21
19,214450,023/050,026/050,049/100,--,--,--,49,03,C,05,15
20,214450,022/050,020/050,042/100,--,--,--,42,03,P,04,12
21,214450,028/050,030/050,058/100,--,--,--,58,03,B+,07,21
22,214450,041/050,036/050,077/100,--,--,--,77,03,A+,09,27
23,214450,022/050,029/050,051/100,--,--,--,51,03,B,06,18
24,214450,032/050,023/050,055/100,--,--,--,55,03,B+,07,21
25,214450,031/050,027/050,058/100,--,--,--,58,03,B+,07,21
26,214450,016/050,024/050,040/100,--,--,--,40,03,P,04,12
27,214450,026/050,032/050,058/100,--,--,--,58,03,B+,07,21
28,214450,024/050,036/050,060/100,--,--,--,60,03,A,08,24
29,214450,021/050,030/050,051/100,--,--,--,51,03,B,06,18
30,214450,016/050,026/050,042/100,--,--,--,42,03,P,04,12
31,214450,031/050,034/050,065/100,--,--,--,65,03,A,08,24
32,214450,030/050,020/050,050/100,--,--,--,50,03,B,06,18
33,214450,036/050,020/050,056/100,--,--,--,56,03,B+,07,21
34,214450,042/050,041/050,083/100,--,--,--,83,03,O,10,30
35,214450,028/050,033/050,061/100,--,--,--,61,03,A,08,24
36,214450,028/050,034/050,062/100,--,--,--,62,03,A,08,24
37,214450,023/050,030/050,053/100,--,--,--,53,03,B,06,18
38,214450,028/050,014/050,042/100,--,--,--,FF,03,F,00,00
39,214450,021/050,025/050,046/100,--,--,--,46,03,C,05,15
40,214450,029/050,012/050,041/100,--,--,--,FF,03,F,00,00
41,214450,026/050,024/050,050/100,--,--,--,50,03,B,06,18
42,214450,030/050,002/050,032/100,--,--,--,FF,03,F,00,00
43,214450,025/050,001/050,026/100,--,--,--,FF,03,F,00,00
44,214450,025/050,031/050,056/100,--,--,--,56,03,B+,07,21
45,214450,030/050,023/050,053/100,--,--,--,53,03,B,06,18
46,214450,035/050,024/050,059/100,--,--,--,59,03,B+,07,21
47,214450,032/050,025/050,057/100,--,--,--,57,03,B+,07,21
48,214450,035/050,017/050,052/100,--,--,--,FF,03,F,00,00
