,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214455,--,--,--,023/025,035/050,--,77,02,A+,09,18
1,214455,--,--,--,022/025,023/050,--,60,02,A,08,16
2,214455,--,--,--,023/025,036/050,--,78,02,A+,09,18
3,214455,--,--,--,023/025,039/050,--,82,02,O,10,20
4,214455,--,--,--,023/025,037/050,--,80,02,O,10,20
5,214455,--,--,--,023/025,036/050,--,78,02,A+,09,18
6,214455,--,--,--,014/025,AB/050,--,FF,02,F,00,00
7,214455,--,--,--,020/025,027/050,--,62,02,A,08,16
8,214455,--,--,--,022/025,044/050,--,88,02,O,10,20
9,214455,--,--,--,022/025,034/050,--,74,02,A+,09,18
10,214455,--,--,--,016/025,027/050,--,57,02,B+,07,14
11,214455,--,--,--,023/025,031/050,--,72,02,A+,09,18
12,214455,--,--,--,015/025,023/050,--,50,02,B,06,12
13,214455,--,--,--,020/025,025/050,--,60,02,A,08,16
14,214455,--,--,--,022/025,030/050,--,69,02,A,08,16
15,214455,--,--,--,023/025,041/050,--,85,02,O,10,20
16,214455,--,--,--,020/025,027/050,--,62,02,A,08,16
17,214455,--,--,--,021/025,035/050,--,74,02,A+,09,18
18,214455,--,--,--,022/025,038/050,--,80,02,O,10,20
19,214455,--,--,--,020/025,031/050,--,68,02,A,08,16
20,214455,--,--,--,015/025,025/050,--,53,02,B,06,12
21,214455,--,--,--,022/025,032/050,--,72,02,A+,09,18
22,214455,--,--,--,023/025,044/050,--,89,02,O,10,20
23,214455,--,--,--,019/025,026/050,--,60,02,A,08,16
24,214455,--,--,--,020/025,022/050,--,56,02,B+,07,14
25,214455,--,--,--,019/025,030/050,--,65,02,A,08,16
26,214455,--,--,--,013/025,026/050,--,52,02,B,06,12
27,214455,--,--,--,022/025,037/050,--,78,02,A+,09,18
28,214455,--,--,--,022/025,041/050,--,84,02,O,10,20
29,214455,--,--,--,019/025,024/050,--,57,02,B+,07,14
30,214455,--,--,--,021/025,000/050,--,FF,02,F,00,00
31,214455,--,--,--,020/025,032/050,--,69,02,A,08,16
32,214455,--,--,--,017/025,027/050,--,58,02,B+,07,14
33,214455,--,--,--,017/025,AB/050,--,FF,02,F,00,00
34,214455,--,--,--,023/025,045/050,--,90,02,O,10,20
35,214455,--,--,--,020/025,035/050,--,73,02,A+,09,18
36,214455,--,--,--,023/025,037/050,--,80,02,O,10,20
37,214455,--,--,--,022/025,042/050,--,85,02,O,10,20
38,214455,--,--,--,014/025,005/050,--,FF,02,F,00,00
39,214455,--,--,--,022/025,036/050,--,77,02,A+,09,18
40,214455,--,--,--,015/025,AB/050,--,FF,02,F,00,00
41,214455,--,--,--,020/025,027/050,--,62,02,A,08,16
