,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214446,--,--,--,022/025,028/050,--,66,01,A,08,08
1,214446,--,--,--,022/025,021/050,--,57,01,B+,07,07
2,214446,--,--,--,022/025,026/050,--,64,01,A,08,08
3,214446,--,--,--,022/025,030/050,--,69,01,A,08,08
4,214446,--,--,--,022/025,030/050,--,69,01,A,08,08
5,214446,--,--,--,023/025,031/050,--,72,01,A+,09,09
6,214446,--,--,--,018/025,020/050,--,50,01,B,06,06
7,214446,--,--,--,022/025,031/050,--,70,01,A+,09,09
8,214446,--,--,--,022/025,022/050,--,58,01,B+,07,07
9,214446,--,--,--,022/025,026/050,--,64,01,A,08,08
10,214446,--,--,--,017/025,023/050,--,53,01,B,06,06
11,214446,--,--,--,022/025,026/050,--,64,01,A,08,08
12,214446,--,--,--,017/025,024/050,--,54,01,B,06,06
13,214446,--,--,--,022/025,021/050,--,57,01,B+,07,07
14,214446,--,--,--,023/025,030/050,--,70,01,A+,09,09
15,214446,--,--,--,023/025,028/050,--,68,01,A,08,08
16,214446,--,--,--,023/025,032/050,--,73,01,A+,09,09
17,214446,--,--,--,022/025,024/050,--,61,01,A,08,08
18,214446,--,--,--,023/025,024/050,--,62,01,A,08,08
19,214446,--,--,--,023/025,025/050,--,64,01,A,08,08
20,214446,--,--,--,017/025,030/050,--,62,01,A,08,08
21,214446,--,--,--,023/025,030/050,--,70,01,A+,09,09
22,214446,--,--,--,024/025,035/050,--,78,01,A+,09,09
23,214446,--,--,--,022/025,026/050,--,64,01,A,08,08
24,214446,--,--,--,022/025,024/050,--,61,01,A,08,08
25,214446,--,--,--,022/025,021/050,--,57,01,B+,07,07
26,214446,--,--,--,022/025,030/050,--,69,01,A,08,08
27,214446,--,--,--,022/025,027/050,--,65,01,A,08,08
28,214446,--,--,--,023/025,032/050,--,73,01,A+,09,09
29,214446,--,--,--,020/025,024/050,--,58,01,B+,07,07
30,214446,--,--,--,021/025,024/050,--,60,01,A,08,08
31,214446,--,--,--,022/025,030/050,--,69,01,A,08,08
32,214446,--,--,--,016/025,030/050,--,61,01,A,08,08
33,214446,--,--,--,019/025,025/050,--,58,01,B+,07,07
34,214446,--,--,--,023/025,038/050,--,81,01,O,10,10
35,214446,--,--,--,021/025,033/050,--,72,01,A+,09,09
36,214446,--,--,--,023/025,036/050,--,78,01,A+,09,09
37,214446,--,--,--,021/025,035/050,--,74,01,A+,09,09
38,214446,--,--,--,017/025,008/050,--,FF,01,F,00,00
39,214446,--,--,--,017/025,035/050,--,69,01,A,08,08
40,214446,--,--,--,017/025,020/050,--,49,01,C,05,05
41,214446,--,--,--,021/025,025/050,--,61,01,A,08,08
42,214446,--,--,--,017/025,AB/050,--,FF,01,F,00,00
43,214446,--,--,--,015/025,021/050,--,48,01,C,05,05
44,214446,--,--,--,021/025,038/050,--,78,01,A+,09,09
45,214446,--,--,--,020/025,026/050,--,61,01,A,08,08
46,214446,--,--,--,021/025,026/050,--,62,01,A,08,08
47,214446,--,--,--,018/025,029/050,--,62,01,A,08,08
48,214446,--,--,--,018/025,025/050,--,57,01,B+,07,07
49,214446,--,--,--,023/025,026/050,--,65,01,A,08,08
50,214446,--,--,--,021/025,028/050,--,65,01,A,08,08
51,214446,--,--,--,021/025,022/050,--,57,01,B+,07,07
52,214446,--,--,--,020/025,030/050,--,66,01,A,08,08
53,214446,--,--,--,022/025,027/050,--,65,01,A,08,08
54,214446,--,--,--,015/025,005/050,--,FF,01,F,00,00
55,214446,--,--,--,022/025,026/050,--,64,01,A,08,08
56,214446,--,--,--,017/025,030/050,--,62,01,A,08,08
57,214446,--,--,--,023/025,031/050,--,72,01,A+,09,09
58,214446,--,--,--,020/025,024/050,--,58,01,B+,07,07
59,214446,--,--,--,018/025,030/050,--,64,01,A,08,08
60,214446,--,--,--,021/025,026/050,--,62,01,A,08,08
61,214446,--,--,--,020/025,028/050,--,64,01,A,08,08
62,214446,--,--,--,023/025,035/050,--,77,01,A+,09,09
63,214446,--,--,--,021/025,037/050,--,77,01,A+,09,09
64,214446,--,--,--,023/025,028/050,--,68,01,A,08,08
65,214446,--,--,--,022/025,025/050,--,62,01,A,08,08
66,214446,--,--,--,019/025,026/050,--,60,01,A,08,08
67,214446,--,--,--,024/025,030/050,--,72,01,A+,09,09
68,214446,--,--,--,021/025,025/050,--,61,01,A,08,08
