,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214443,026/050,033/050,059/100,--,--,--,59,04,B+,07,28
1,214443,021/050,021/050,042/100,--,--,--,42,04,P,04,16
2,214443,032/050,020/050,052/100,--,--,--,52,04,B,06,24
3,214443,027/050,020/050,047/100,--,--,--,47,04,C,05,20
4,214443,032/050,021/050,053/100,--,--,--,53,04,B,06,24
5,214443,022/050,029/050,051/100,--,--,--,51,04,B,06,24
6,214443,018/050,010/050,028/100,--,--,--,FF,04,F,00,00
7,214443,032/050,020/050,052/100,--,--,--,52,04,B,06,24
8,214443,030/050,021/050,051/100,--,--,--,51,04,B,06,24
9,214443,030/050,030/050,060/100,--,--,--,60,04,A,08,32
10,214443,018/050,011/050,029/100,--,--,--,FF,04,F,00,00
11,214443,019/050,021/050,040/100,--,--,--,40,04,P,04,16
12,214443,021/050,020/050,041/100,--,--,--,41,04,P,04,16
13,214443,025/050,012/050,037/100,--,--,--,FF,04,F,00,00
14,214443,025/050,022/050,047/100,--,--,--,47,04,C,05,20
15,214443,026/050,025/050,051/100,--,--,--,51,04,B,06,24
16,214443,028/050,021/050,049/100,--,--,--,49,04,C,05,20
17,214443,034/050,020/050,054/100,--,--,--,54,04,B,06,24
18,214443,026/050,032/050,058/100,--,--,--,58,04,B+,07,28
19,214443,023/050,021/050,044/100,--,--,--,44,04,P,04,16
20,214443,016/050,012/050,028/100,--,--,--,FF,04,F,00,00
21,214443,024/050,025/050,049/100,--,--,--,49,04,C,05,20
22,214443,042/050,030/050,072/100,--,--,--,72,04,A+,09,36
23,214443,026/050,020/050,046/100,--,--,--,46,04,C,05,20
24,214443,025/050,020/050,045/100,--,--,--,45,04,C,05,20
25,214443,020/050,017/050,037/100,--,--,--,FF,04,F,00,00
26,214443,019/050,021/050,040/100,--,--,--,40,04,P,04,16
27,214443,034/050,021/050,055/100,--,--,--,55,04,B+,07,28
28,214443,035/050,029/050,064/100,--,--,--,64,04,A,08,32
29,214443,024/050,008/050,032/100,--,--,--,FF,04,F,00,00
30,214443,018/050,22$/050,040/100,--,--,--,40,04,P,04,16
31,214443,031/050,023/050,054/100,--,--,--,54,04,B,06,24
32,214443,027/050,AB/050,027/100,--,--,--,FF,04,F,00,00
33,214443,024/050,020/050,044/100,--,--,--,44,04,P,04,16
34,214443,038/050,029/050,067/100,--,--,--,67,04,A,08,32
35,214443,030/050,026/050,056/100,--,--,--,56,04,B+,07,28
36,214443,033/050,022/050,055/100,--,--,--,55,04,B+,07,28
37,214443,029/050,023/050,052/100,--,--,--,52,04,B,06,24
38,214443,019/050,002/050,021/100,--,--,--,FF,04,F,00,00
39,214443,023/050,006/050,029/100,--,--,--,FF,04,F,00,00
40,214443,014/050,000/050,014/100,--,--,--,FF,04,F,00,00
41,214443,034/050,020/050,054/100,--,--,--,54,04,B,06,24
42,214443,018/050,AB/050,018/100,--,--,--,FF,04,F,00,00
43,214443,020/050,005/050,025/100,--,--,--,FF,04,F,00,00
44,214443,039/050,028/050,067/100,--,--,--,67,04,A,08,32
45,214443,020/050,20$/050,040/100,--,--,--,40,04,P,04,16
46,214443,024/050,015/050,039/100,--,--,--,FF,04,F,00,00
47,214443,034/050,022/050,056/100,--,--,--,56,04,B+,07,28
48,214443,024/050,011/050,035/100,--,--,--,FF,04,F,00,00
49,214443,036/050,020/050,056/100,--,--,--,56,04,B+,07,28
50,214443,032/050,029/050,061/100,--,--,--,61,04,A,08,32
51,214443,029/050,022/050,051/100,--,--,--,51,04,B,06,24
52,214443,036/050,022/050,058/100,--,--,--,58,04,B+,07,28
53,214443,032/050,031/050,063/100,--,--,--,63,04,A,08,32
54,214443,024/050,022/050,046/100,--,--,--,46,04,C,05,20
55,214443,036/050,025/050,061/100,--,--,--,61,04,A,08,32
56,214443,027/050,020/050,047/100,--,--,--,47,04,C,05,20
57,214443,026/050,034/050,060/100,--,--,--,60,04,A,08,32
58,214443,031/050,021/050,052/100,--,--,--,52,04,B,06,24
59,214443,032/050,027/050,059/100,--,--,--,59,04,B+,07,28
60,214443,022/050,027/050,049/100,--,--,--,49,04,C,05,20
